# http://fitlayout.github.io/resource/art39 -> https://www.imdb.com/title/tt4898282/fullcredits/
character=Arthur Bailey	name=Alan Ritchson	episodes=13 episodes, 2017 	
character=Jack	name=Christopher Stein	episodes=1 episode, 2017 	
character=Young Tough	name=Carlito Brigante	episodes=1 episode, 2017 	
character=Melvin Slink	name=Evan Hengst	episodes=1 episode, 2017 	
character=Barista	name=Chad Phillips	episodes=1 episode, 2017 	
character=Carolina	name=Hlubi Mboya	episodes=1 episode, 2017 	
character=Tattoo Fan	name=Richard Wright-Firth	episodes=1 episode, 2017 	
character=Tight T-Shirt Guy	name=Michael Fenn	episodes=1 episode, 2017 	
character=Kid 1	name=Cameron Corrigan	episodes=1 episode, 2017 	
character=Grela	name=Ambrosa Lambermont	episodes=1 episode, 2017 	
character=Cyclops	name=Craig Macrae	episodes=1 episode, 2017 	
character=Junkie	name=Nathan Lynn	episodes=1 episode, 2017 	
character=Bride	name=Michelle Allen	episodes=1 episode, 2017 	
character=Gerlie	name=Mischia Batt	episodes=1 episode, 2017 	
character=Past Primo	name=Leandra Dreyer	episodes=1 episode, 2017 	
character=Lavern Slink	name=Alicia McCormick	episodes=1 episode, 2017 	
character=Kid 2	name=Brennar Kyle	episodes=1 episode, 2017 	
character=Mamphrane Guard	name=Richard Lothian	episodes=1 episode, 2017 	
character=Cronenburgh Musician	name=John Bartmann	episodes=1 episode, 2017 	
character=Kissing Mayhemer	name=Denicke Cronje	episodes=1 episode, 2017 	
character=Past Primo	name=Hein de Vries	episodes=1 episode, 2017 	
character=Groom	name=Llewellyn Van Der Berg	episodes=1 episode, 2017 	
character=Carolina Guard 	name=Shelia Ho	episodes=1 episode, 2017 	
character=Harriet	name=Christie Peruso	episodes=1 episode, 2017 	
character=Chad	name=Shaun Chad Smit	episodes=1 episode, 2017 	
character=Kissing Mayhemer	name=Roxanne Prentice	episodes=1 episode, 2017 	
character=Partier	name=Arlin Bantam	episodes=1 episode, 2017 	
character=Carolina Guard 	name=Nina Kuhn	episodes=1 episode, 2017 	
character=Primo Fighter	name=Brenda Firmani	episodes=1 episode, 2017 	
character=Cronenburgh Musician	name=Riaz Jorge	episodes=1 episode, 2017 	
character=Primo Fighter	name=Daniel Himschoot	episodes=1 episode, 2017 	
character=Barry	name=Bjorn Steinbach	episodes=1 episode, 2017 	
character=Zingo	name=Kerry Gregg	episodes=1 episode, 2017 	
character=Kissing Mayhemer	name=Cayley Rae	episodes=1 episode, 2017 	
character=Bearded Trucker	name=Martin Van Geems	episodes=1 episode, 2017 	
character=Head Splitter Partier	name=Robin Minifie	episodes=1 episode, 2017 	
character=Cronenburgh Musician	name=Imtiy Az Kardia	episodes=1 episode, 2017 	
character=Battledrome Fighter	name=Serena Ciralli	episodes=1 episode, 2017 	
character=Battledrome Fighter	name=Paul Hampshire	episodes=1 episode, 2017 	
character=Todd	name=Jesse Suntele	episodes=1 episode, 2017 	
character=Raul	name=Freddie Kruger	episodes=1 episode, 2017 	
character=Primo Fighter	name=Lana Lynx	episodes=1 episode, 2017 	
character=Kissing Mayhemer	name=Herschelle Rhodenburg	episodes=1 episode, 2017 	
character=Cronenburgh Musician	name=James Kirby	episodes=1 episode, 2017 	
character=Primo Fighter	name=Ian Stock	episodes=1 episode, 2017 	
character=Battledrome Fighter	name=Malin Kirjonen	episodes=1 episode, 2017 	
character=Robotard 9000	name=Anton Moon	episodes=1 episode, 2017 	
character=Cronenburgh Musician	name=Mikhal Motala	episodes=1 episode, 2017 	
character=Primo Fighter	name=Ross Van Der Walt	episodes=1 episode, 2017 	
character=Cronenburgh Musician	name=Jason Mulcahy	episodes=1 episode, 2017 	
character=Battledrome Fighter	name=Anneli Muller	episodes=1 episode, 2017 	
character=Battledrome Fighter	name=Jenny Umbhau	episodes=1 episode, 2017 	
character=Cronenburgh Musician	name=Derek Organ	episodes=1 episode, 2017 	
character=Cronenburgh Musician	name=Atreyu Setter	episodes=1 episode, 2017 	
character=Cronenburgh Musician	name=Cliff West	episodes=1 episode, 2017 	
character=Cronenburgh Musician	name=John Yarnold	episodes=1 episode, 2017 	
character=Town Person	name=Witney Tucker	episodes=1 episode, 2017 	
character=Glimmer	name=David Smith	episodes=1 episode, 2017 	
character=Team Member 1	name=Ameera Conrad	episodes=1 episode, 2017 	
