# http://fitlayout.github.io/resource/art57 -> https://www.imdb.com/title/tt6548228/fullcredits/
character=Cop 	name=Johnny C. Buckner Jr.	episodes=1 episode, 2018 	
character=Robere	name=Ethan Herschenfeld	episodes=1 episode, 2019 	
character=Boy	name=Patrick W. Griffin	episodes=1 episode, 2019 	
character=Stunt Prisoner 	name=Tom Akos	episodes=1 episode, 2018 	
character=Guard	name=Tom Place	episodes=1 episode, 2018 	
character=Female Squatter	name=Christine Mascott	episodes=1 episode, 2019 	
character=Helene	name=Nicole Albanese	episodes=1 episode, 2019 	
character=Zoe	name=Andrea Athanassiou	episodes=1 episode, 2019 	
character=Male Squatter	name=Halloran	episodes=1 episode, 2019 	
character=Male Squatter	name=John O	episodes=1 episode, 2019 	
character=ER Nurse	name=Erica McDermott	episodes=1 episode, 2019 	
character=Older Deputy	name=Tom Kemp	episodes=1 episode, 2019 	
character=Louis	name=Forrest Weber	episodes=1 episode, 2019 	
character=Smoking Hag	name=Hannah Crowley-Paolillo	episodes=1 episode, 2018 	
character=Castle Rock Citizen	name=Tony Ionno	episodes=10 episodes, 2019 	
character=Marstenite	name=Louise Mara	episodes=3 episodes, 2018-2019 	
character=Shawshank Guard	name=Paul Bellefeuille	episodes=3 episodes, 2018 	
character=Marstenite	name=Paul Noonan	episodes=3 episodes, 2019 	
character=Parade Onlooker	name=Laurie Kwiatkowski	episodes=3 episodes, 2019 	
character=Acadian Musketeer	name=George Tessier	episodes=3 episodes, 2019 	
character=Marstenites	name=Andeth Man	episodes=3 episodes, 2019 	
character=Bar Patron	name=Elaine Victoria Grey	episodes=2 episodes, 2018-2019 	
character=Marstenite	name=Richard Chandler	episodes=2 episodes, 2018-2019 	
character=Marstenite	name=Michael Randazzese	episodes=2 episodes, 2018-2019 	
character=Prison Guard	name=Jeff Bouffard	episodes=2 episodes, 2018 	
character=Bar Patron	name=Sasha Kuznetsova	episodes=2 episodes, 2018 	
character=Shawshank Prisoner	name=Mickey Gilmore	episodes=2 episodes, 2018 	
character=Prisoner	name=Christopher Deschenes	episodes=2 episodes, 2018 	
character=Castle Rock Citizen	name=Halle Curley	episodes=2 episodes, 2019 	
character=Statue Carrier	name=Rocco Navarro	episodes=2 episodes, 2019 	
character=Marstenite	name=Brian Anastasio	episodes=2 episodes, 2019 	
character=Castle Rock Citizen	name=Kevin Fennessy	episodes=2 episodes, 2019 	
character=Somali Mall Patron	name=Chemi Che-Mponda	episodes=2 episodes, 2019 	
character=Castle Rock Citizen	name=David S. Bookbinder	episodes=2 episodes, 2019 	
character=Somali American	name=Michele Egerton	episodes=2 episodes, 2019 	
character=Timid Guard	name=Chris Richards	episodes=1 episode, 2018 	
character=College Student	name=Forest Quaglia	episodes=1 episode, 2018 	
character=News Reporter	name=Kevin Lasit	episodes=1 episode, 2018 	
character=Shawshank Prisoner	name=Joseph Oliveira	episodes=1 episode, 2018 	
