# http://fitlayout.github.io/resource/art33 -> https://www.imdb.com/title/tt2618986/fullcredits/
character=Abby	name=Paul Larouche	episodes=1 episode, 2016 	
character=Oscar	name=Amiyah Marmorstein	episodes=1 episode, 2016 	
character=AG Team	name=Gerardo Barcala	episodes=5 episodes, 2015-2016 	
character=Teen Doctor	name=David Hardware	episodes=2 episodes, 2016 	
character=Finn	name=Glen Gordon	episodes=1 episode, 2015 	
character=Singer	name=Cassandra Cavalli	episodes=1 episode, 2015 	
character=Fireman	name=Danny Mac	episodes=1 episode, 2015 	
character=Library Patron	name=Devin K. Hansen	episodes=1 episode, 2015 	
character=Abby	name=Ron Wear	episodes=1 episode, 2015 	
character=Abbey	name=Fraser Corbett	episodes=1 episode, 2015 	
character=Elizabeth	name=Kate Crutchlow	episodes=1 episode, 2015 	
character=Bunker Girl	name=Sinead Hogan	episodes=1 episode, 2015 	
character=Forklift Operator	name=Anthony Welch	episodes=1 episode, 2015 	
character=Survivor	name=Rebecca Georgelin	episodes=1 episode, 2015 	
character=Doctor	name=Peter Munson Hogan	episodes=1 episode, 2016 	
character=Patient	name=Shahrokh Ferdowsi	episodes=1 episode, 2016 	
character=Townsperson	name=Kristina Hampton	episodes=1 episode, 2016 	
character=FG Townsfolk	name=Derek Schnobb	episodes=1 episode, 2016 	
character=Townsfolk	name=Tony Chris Kazoleas	episodes=1 episode, 2016 	
character=The Barber	name=Antonie Heide	episodes=1 episode, 2016 	
