# http://fitlayout.github.io/resource/art75 -> https://www.imdb.com/title/tt10147644/fullcredits/
character=Mateo Vidal	name=Mario Casas	episodes=8 episodes, 2021 	
character=Oscar	name=Alex Brull	episodes=2 episodes, 2021 	
character=Secretaria Tetco	name=Anna Prats	episodes=2 episodes, 2021 	
character=Lidia	name=Carla Ricart	episodes=2 episodes, 2021 	
character=Agente aeropuerto	name=Benjamí Conesa	episodes=2 episodes, 2021 	
character=Enfermera	name=Anna Farriol	episodes=2 episodes, 2021 	
character=Sra. Abellán	name=Alzira Gómez	episodes=2 episodes, 2021 	
character=Viuda Gallardo	name=Isabel Rocatti	episodes=2 episodes, 2021 	
character=Hombre edificio	name=Carlos Martinho	episodes=2 episodes, 2021 	
character=Agente policía	name=Oriol Ruiz	episodes=2 episodes, 2021 	
character=Agente policía	name=Arnau Casanovas	episodes=2 episodes, 2021 	
character=Agente policía	name=Pep Papell	episodes=2 episodes, 2021 	
character=Agente policía	name=Eduard Tudela	episodes=2 episodes, 2021 	
character=Agente policía	name=Sonia Espinosa	episodes=2 episodes, 2021 	
character=Empleado hotel	name=Isaac Alcayde	episodes=2 episodes, 2021 	
character=Doctora UCI	name=Amàlia Sancho	episodes=2 episodes, 2021 	
character=Enfermera	name=Anna Garreta	episodes=2 episodes, 2021 	
character=Agente policía	name=Roger Vidal	episodes=2 episodes, 2021 	
character=Enfermero	name=Jose Luis Miranda	episodes=2 episodes, 2021 	
character=Enfermera mostrador	name=Estefi García	episodes=2 episodes, 2021 	
character=Agente comisaría	name=Gema Sala	episodes=2 episodes, 2021 	
character=Agente comisaría	name=Dídac Rodríguez	episodes=2 episodes, 2021 	
character=Olivia niña	name=Carla Moran	episodes=2 episodes, 2021 	
character=Amigo Isma	name=Kevin Avilés	episodes=2 episodes, 2021 	
character=Sargento Comisaría	name=Carlos Reyes	episodes=1 episode, 2021 	
character=Madre Olivia	name=Patrícia Mendoza	episodes=1 episode, 2021 	
character=Operario camión	name=Carlus Fàbrega	episodes=1 episode, 2021 	
character=Tipo zoo	name=Marc Barbena	episodes=1 episode, 2021 	
character=Tutora orfanato	name=Esthela Kuri	episodes=1 episode, 2021 	
character=Agente piso Mat	name=Arnau Gol-Karsunke	episodes=1 episode, 2021 	
character=Hombre Málaga	name=Pedro Alonso	episodes=1 episode, 2021 	
character=Novio Carmen	name=Ignasi Dalmases	episodes=1 episode, 2021 	
character=Alumno	name=Miquel Giblin	episodes=1 episode, 2021 	
character=Alumno	name=Adrià Salazar	episodes=1 episode, 2021 	
character=Funcionario cárcel	name=Òscar Intente	episodes=1 episode, 2021 	
character=Conductora	name=Rosa Aguado	episodes=1 episode, 2021 	
character=Hombre Rosa del Viento	name=Toni Climent	episodes=1 episode, 2021 	
character=Torralba	name=Albert Pérez	episodes=1 episode, 2021 	
character=Funcionaria Cárcel	name=Patricia Santos	episodes=1 episode, 2021 	
character=Mujer Toni Osias	name=Mar Serra	episodes=1 episode, 2021 	
character=Veronica	name=Aleida Torrent	episodes=1 episode, 2021 	
character=Amigo Isma	name=Alex Vega	episodes=1 episode, 2021 	
character=Cliente Malquerida	name=Christian Guiriguet	episodes=1 episode, 2021 	
character=Alumna	name=Natalia Serra	episodes=1 episode, 2021 	
character=Vendedora compañía aérea	name=Sílvia Forns	episodes=1 episode, 2021 	
character=Cliente Malquerida	name=Kristel Magan	episodes=1 episode, 2021 	
character=Alumno	name=Christian Luján	episodes=1 episode, 2021 	
character=Amigo Isma	name=Darius Macrea	episodes=1 episode, 2021 	
character=Monja	name=Sílvia Ricart	episodes=1 episode, 2021 	
character=Novio Mara	name=Joan Sureda	episodes=1 episode, 2021 	
character=Amigo Isma	name=Víctor Boada	episodes=1 episode, 2021 	
character=Agente UDE	name=Ferran Plana	episodes=1 episode, 2021 	
character=Amigo Hugo	name=Ricard Juanola	episodes=1 episode, 2021 	
character=Mayordomo	name=Gary Anthony Stennette	episodes=1 episode, 2021 	
character=Agente control aeropuerto	name=Carlos Briones	episodes=1 episode, 2021 	
character=Amigo Hugo	name=Oscar Fernández	episodes=1 episode, 2021 	
character=Amigo Hugo	name=Albert Sirvent	episodes=1 episode, 2021 	
character=Vecino	name=Genís Campillo	episodes=1 episode, 2021 	
character=Suegro Aguilar	name=Xavier Tor	episodes=1 episode, 2021 	
character=Conductor camión	name=Álex Barrero	episodes=1 episode, 2021 	
character=Amigo Hugo	name=Joan Grima	episodes=1 episode, 2021 	
character=Madre Mat	name=Elena Vilaplana	episodes=1 episode, 2021 	
character=Agente científica	name=Àlex Mitjà	episodes=1 episode, 2021 	
character=Padre Mat	name=Alberto Pascual	episodes=1 episode, 2021 	
character=Juez	name=Toni Meler	episodes=1 episode, 2021 	
character=Técnico forense	name=Bibiana Xiol	episodes=1 episode, 2021 	
character=Taquillera zoo	name=Marisol Casas	episodes=1 episode, 2021 	
character=Escort	name=Kristina Orlovic	episodes=1 episode, 2021 	
