# http://fitlayout.github.io/resource/art7 -> https://www.imdb.com/title/tt0098904/fullcredits/
character=Pool Guy	name=Carlos Jacott	episodes=2 episodes, 1995-1998 	
character=Arnold Deensfrei	name=Robert Katims	episodes=2 episodes, 1995-1998 	
character=Leslie	name=Wendel Meldrum	episodes=2 episodes, 1993-1998 	
character=Babs Kramer	name=Sheree North	episodes=2 episodes, 1995-1998 	
character=Marcelino	name=Miguel Sandoval	episodes=2 episodes, 1997-1998 	
character=Yev Kassem	name=Larry Thomas	episodes=2 episodes, 1995-1998 	
character=Robin	name=Ann Talman	episodes=1 episode, 1992 	
character=Sidney Fields	name=Bill Erwin	episodes=1 episode, 1993 	
character=Cheryl	name=Maggie Han	episodes=1 episode, 1993 	
character=Franklin Delano Romanowski	name=Michael McShane	episodes=1 episode, 1997-1998 	
character=Glenda	name=Patrika Darbo	episodes=1 episode, 1991-1993 	
character=Mrs. Sanger	name=Carol Mansell	episodes=1 episode, 1992-1993 	
character=The Drake	name=Rick Overton	episodes=1 episode, 1993 	
character=Calvin Klein	name=Nicholas Hormann	episodes=1 episode, 1992-1993 	
character=Rushdie	name=Tony Amendola	episodes=1 episode, 1993 	
character=Housekeeper	name=Lanei Chapman	episodes=1 episode, 1993 	
character=First Man in Hockey Audience	name=Fred Stoller	episodes=1 episode, 1995 	
character=Allison	name=Elizabeth Dennehy	episodes=1 episode, 1993 	
character=Glenn	name=Brian J. Williams	episodes=1 episode, 1997 	
character=Judy	name=Coby Turner	episodes=1 episode, 1995 	
character=Driver	name=Bill Masters	episodes=1 episode, 1992-1993 	
character=Ellis	name=Marc Hirschfeld	episodes=1 episode, 1993-1998 	
character=Cop 	name=Ed O	episodes=1 episode, 1995-1998 	
character=Cop 	name=Ross	episodes=1 episode, 1995-1998 	
character=Comedy Club Waiter	name=Tory Christopher	episodes=1 episode, 1993 	
character=Claire	name=Lee Garlington	episodes=1 episode, 1989 	
character=Laura	name=Pamela Brull	episodes=1 episode, 1989 	
character=Joel Horneck	name=Kevin Dunn	episodes=1 episode, 1990 	
character=Steve Pocatello	name=Michael Chiklis	episodes=1 episode, 1991 	
character=Bruce	name=James Hong	episodes=1 episode, 1991 	
character=Patrice	name=Valerie Mahaffey	episodes=1 episode, 1991 	
character=Audrey	name=Susan Diol	episodes=1 episode, 1991 	
character=Manny	name=Tony Plana	episodes=1 episode, 1991 	
character=Tor Eckman	name=Stephen Tobolowsky	episodes=1 episode, 1991 	
character=Dick	name=David Naughton	episodes=1 episode, 1991 	
character=Alton Benes	name=Lawrence Tierney	episodes=1 episode, 1991 	
character=Gavin Pollone	name=Joseph Maher	episodes=1 episode, 1991 	
character=Rick Levitan	name=Fred Applegate	episodes=1 episode, 1991 	
character=Antonio	name=David Labiosa	episodes=1 episode, 1991 	
character=Repairman	name=John Apicella	episodes=1 episode, 1991 	
character=Ray	name=Michael D. Conway	episodes=1 episode, 1991 	
character=Roy	name=Ralph Bruneau	episodes=1 episode, 1991 	
