# http://fitlayout.github.io/resource/art40 -> https://www.imdb.com/title/tt0944947/fullcredits/
character=Myrcella Baratheon	name=Nell Tiger Free	episodes=6 episodes, 2015-2016 	
character=Anguy	name=Philip McGinley	episodes=6 episodes, 2013 	
character=High Septon	name=Paul Bentley	episodes=6 episodes, 2013-2015 	
character=Alys Karstark	name=Megan Parkinson	episodes=5 episodes, 2016-2019 	
character=Watch Officer	name=Dennis McKeever	episodes=1 episode, 2011-2013 	
character=Night	name=Dennis McKeever	episodes=1 episode, 2011-2013 	
character=Viserys Targaryen	name=Harry Lloyd	episodes=5 episodes, 2011 	
character=Jory Cassel	name=Jamie Sives	episodes=5 episodes, 2011 	
character=Lysa Arryn	name=Kate Dickie	episodes=5 episodes, 2011-2014 	
character=Mance Rayder	name=Ciarán Hinds	episodes=5 episodes, 2013-2015 	
character=Craster	name=Robert Pugh	episodes=5 episodes, 2012-2013 	
character=Doran Martell	name=Alexander Siddig	episodes=5 episodes, 2015-2016 	
character=Xaro Xhoan Daxos	name=Nonso Anozie	episodes=5 episodes, 2012 	
character=Randyll Tarly	name=James Faulkner	episodes=5 episodes, 2016-2017 	
character=Robett Glover	name=Tim McInnerny	episodes=5 episodes, 2016-2017 	
character=Rickard Karstark	name=John Stahl	episodes=5 episodes, 2012-2013 	
character=Dagmer Cleftjaw	name=Ralph Ineson	episodes=5 episodes, 2012 	
character=Walda Bolton	name=Elizabeth Webster	episodes=5 episodes, 2014-2016 	
character=Trystane Martell	name=Toby Sebastian	episodes=5 episodes, 2015-2016 	
character=The Night King	name=Furdik	episodes=2 episodes, 2016-2019 	
character=The Night King	name=Furdo	episodes=2 episodes, 2016-2019 	
character=The Night King	name=Vladimir 	episodes=2 episodes, 2016-2019 	
character=Archmaester Ebrose	name=Jim Broadbent	episodes=4 episodes, 2017 	
character=Tycho Nestoris	name=Mark Gatiss	episodes=4 episodes, 2014-2017 	
character=Balon Greyjoy	name=Patrick Malahide	episodes=4 episodes, 2012-2016 	
character=Pyat Pree	name=Ian Hanmore	episodes=4 episodes, 2012 	
character=Styr	name=Yuri Kolokolnikov	episodes=4 episodes, 2014 	
character=Yezzan zo Qaggaz	name=Enzo Cilenti	episodes=4 episodes, 2015-2016 	
character=Karl Tanner	name=Burn Gorman	episodes=4 episodes, 2013-2014 	
character=Ilyn Payne	name=Wilko Johnson	episodes=4 episodes, 2011-2012 	
