# http://fitlayout.github.io/resource/art14 -> https://www.imdb.com/title/tt0773262/fullcredits/
character=Teenage Debra	name=Hunter King	episodes=2 episodes, 2006 	
character=Mariel	name=Minerva García	episodes=2 episodes, 2006 	
character=Eva	name=Anna Maganini	episodes=2 episodes, 2007 	
character=Kate	name=Marisa Petroro	episodes=2 episodes, 2009 	
character=Marissa	name=Jillian Bruno	episodes=2 episodes, 2007 	
character=Biggest Columbian	name=Joe Ordaz	episodes=2 episodes, 2012-2013 	
character=TSA Agent 	name=Brian Oblak	episodes=2 episodes, 2010-2013 	
character=Jandro Mendoza	name=Eddy Martin	episodes=2 episodes, 2010 	
character=Reporter	name=Deborah Carson	episodes=2 episodes, 2010 	
character=Sister Daniels	name=Elizabeth Tobias	episodes=2 episodes, 2011 	
character=Guard	name=Andrew Hawkes	episodes=2 episodes, 2006-2012 	
character=Reporter	name=Roxanne Beckford	episodes=2 episodes, 2006 	
character=Javier	name=Ray Santiago	episodes=2 episodes, 2008 	
character=Andy	name=Romeo Brown	episodes=2 episodes, 2006 	
character=Jerry	name=Teddy Lane Jr.	episodes=2 episodes, 2006 	
character=News Anchor	name=Leyna Nguyen	episodes=2 episodes, 2009 	
character=Leo Hernandez	name=Neto DePaula Pimenta	episodes=2 episodes, 2011 	
character=Counter Guy	name=Mario Z.	episodes=2 episodes, 2008 	
character=Court Supervisor	name=Del Hunter-White	episodes=2 episodes, 2006 	
character=EMT	name=David Haley	episodes=2 episodes, 2006-2013 	
character=Singer	name=Enzo Villaparedes	episodes=2 episodes, 2008 	
character=Sketch Artist	name=Gabriel Cordell	episodes=2 episodes, 2006-2008 	
character=Viktor Baskov	name=Enver Gjokaj	episodes=1 episode, 2012 	
character=Off. Gordon	name=J.R. Cacia	episodes=2 episodes, 2009 	
character=Receptionist	name=Nadège August	episodes=2 episodes, 2013 	
character=Timothy Brand	name=John Griffin	episodes=1 episode, 2009 	
character=Melanie Garrett	name=Lauren C. Mayhew	episodes=1 episode, 2012 	
character=Oscar Prado	name=Nick Hermz	episodes=1 episode, 2008 	
character=Young Cop	name=Tom Frank	episodes=1 episode, 2010 	
character=Alex Timmons	name=Demetrius Grosse	episodes=1 episode, 2006 	
character=Anxious Man	name=Jeremy Nichols	episodes=1 episode, 2007 	
character=FBI Agent	name=Jimmy Star	episodes=2 episodes, 2006-2007 	
character=Barrel Girl	name=Tara Ketterer	episodes=2 episodes, 2010 	
character=Matt Chambers	name=Sam Trammell	episodes=1 episode, 2006 	
character=Mother	name=Vernee Watson	episodes=1 episode, 2006 	
character=Doakes	name=Vernee Watson	episodes=1 episode, 2006 	
character=Mrs. Tucci	name=Gina Hecht	episodes=1 episode, 2006 	
character=Ken Olson	name=Silas Weir Mitchell	episodes=1 episode, 2007 	
character=Lenny Asher	name=Bruce Weitz	episodes=1 episode, 2007 	
character=Funeral Director	name=Bill Brochtrup	episodes=1 episode, 2010 	
character=Norberto Cervantez	name=Cristos	episodes=1 episode, 2006 	
character=Social Worker	name=Andi Chapman	episodes=1 episode, 2006 	
character=Jimmy	name=Glenn Plummer	episodes=1 episode, 2007 	
character=Mr. Wilson	name=Dale Midkiff	episodes=1 episode, 2007 	
character=Roger Hicks	name=Don McManus	episodes=1 episode, 2007 	
character=John Henry	name=Salvator Xuereb	episodes=1 episode, 2007 	
character=Suzanna Coffey	name=Adrienne Barbeau	episodes=1 episode, 2009 	
character=Jonathan Farrow	name=Greg Ellis	episodes=1 episode, 2009 	
character=Dr. Cooper	name=Amy Pietz	episodes=1 episode, 2013 	
character=Lucy Gerard	name=Rebecca Staab	episodes=1 episode, 2013 	
character=Andrew Briggs	name=Rhys Coiro	episodes=1 episode, 2013 	
character=Sussman	name=Barbara Tarbuck	episodes=1 episode, 2013 	
character=Mother	name=Barbara Tarbuck	episodes=1 episode, 2013 	
character=Rita	name=Malcolm-Jamal Warner	episodes=1 episode, 2006 	
character=Lawyer	name=Malcolm-Jamal Warner	episodes=1 episode, 2006 	
character=Jorge Castillo	name=José Zúñiga	episodes=2 episodes, 2006 	
character=Dr. Pittman	name=Dakin Matthews	episodes=1 episode, 2006 	
character=Don of Miami Tribune	name=S.A. Griffin	episodes=1 episode, 2007 	
character=Dr. Hill	name=Tony Colitti	episodes=1 episode, 2007 	
character=Off. Zoey Kruger	name=Christina Cox	episodes=1 episode, 2009 	
character=Eddie Noonan	name=Richard Gilliland	episodes=1 episode, 2009 	
character=Barry Kurt	name=Daniel Travis	episodes=1 episode, 2010 	
character=Walter Kenney	name=Ronny Cox	episodes=1 episode, 2011 	
character=Joe Walker	name=John Brotherton	episodes=1 episode, 2011 	
character=Clint McKay	name=Jim Beaver	episodes=1 episode, 2012 	
character=Tyler Barnes	name=Bubba Lewis	episodes=1 episode, 2012 	
character=Dr. Turner	name=Eric Ladin	episodes=1 episode, 2013 	
character=Dr. Emmett Meridian	name=Tony Goldwyn	episodes=1 episode, 2006 	
character=Bob Hicks	name=Scott Atkinson	episodes=1 episode, 2006 	
character=Sgt. McKay	name=Joseph Lyle Taylor	episodes=1 episode, 2006 	
character=Sean	name=Richard Gunn	episodes=1 episode, 2006 	
character=Off. Oliver	name=Patrick Michael Buckley	episodes=1 episode, 2006 	
character=Banana Boat Tour Guide	name=Max Gail	episodes=1 episode, 2007 	
character=Curtis Barnes	name=John Marshall Jones	episodes=1 episode, 2007 	
character=Lab Tech Asst 	name=Brian Scolaro	episodes=1 episode, 2007 	
character=Marriage Therapist	name=Roma Maffia	episodes=1 episode, 2009 	
character=Andy Brightman	name=J.C. MacKenzie	episodes=1 episode, 2009 	
character=Benny	name=Lisa Darr	episodes=1 episode, 2009 	
character=Lawyer	name=Lisa Darr	episodes=1 episode, 2009 	
character=Sam	name=Tim Maculan	episodes=1 episode, 2009 	
character=Alex Tilden	name=Scott Grimes	episodes=1 episode, 2010 	
character=Michael Angelo	name=Kate Moennig	episodes=1 episode, 2010 	
character=Laurel Mendell	name=Leslie Grossman	episodes=1 episode, 2010 	
character=Crisis Counselor	name=Vanessa Bell Calloway	episodes=1 episode, 2010 	
character=Owen	name=David Paetkau	episodes=1 episode, 2010 	
character=Trisha Billings	name=Kristen Miller	episodes=1 episode, 2011 	
character=Donna Randall	name=Beth Grant	episodes=1 episode, 2012 	
character=Wayne Randall	name=Dan Buran	episodes=1 episode, 2012 	
character=Miles Castner	name=Julian Sands	episodes=1 episode, 2013 	
character=Nurse Mary	name=Denise Crosby	episodes=1 episode, 2006 	
character=Rita	name=Erin Daniels	episodes=1 episode, 2006 	
character=Neighbor	name=Erin Daniels	episodes=1 episode, 2006 	
character=Elderly Neighbor	name=Jeanette Miller	episodes=1 episode, 2006 	
character=Alex	name=Mark Matkevich	episodes=1 episode, 2006 	
character=Prosecutor	name=Lisa Kaminir	episodes=1 episode, 2006 	
character=Social Worker	name=Ruth Zalduondo	episodes=1 episode, 2006 	
character=Jaworski	name=Ethan S. Smith	episodes=1 episode, 2006 	
character=Widow	name=Bertila Damas	episodes=1 episode, 2007 	
character=Soto	name=Bertila Damas	episodes=1 episode, 2007 	
character=Amanda	name=Natalie Garza	episodes=1 episode, 2008 	
character=Kyle Butler 	name=Chad Todhunter	episodes=1 episode, 2009 	
character=Flashdrive Detective	name=Jerry O	episodes=1 episode, 2009 	
character=Flashdrive Detective	name=Donnell	episodes=1 episode, 2009 	
character=Realtor	name=Sharon Sachs	episodes=1 episode, 2009 	
character=Lance Robinson	name=Chad Allen	episodes=1 episode, 2010 	
character=Paloma Aragon	name=Liza Colón-Zayas	episodes=1 episode, 2010 	
character=Rankin	name=Brad Carter	episodes=1 episode, 2010 	
character=Robert Brunner	name=Chris Payne Gilbert	episodes=1 episode, 2010 	
character=Stuart Frank	name=Michael Durrell	episodes=1 episode, 2010 	
character=Olivia	name=Tabitha Morella	episodes=1 episode, 2010 	
character=Street Vendor	name=Michael Ray Escamilla	episodes=1 episode, 2010 	
character=Pilot	name=Don Fischer	episodes=1 episode, 2010 	
character=Admissions Director	name=Michael Hyatt	episodes=1 episode, 2011 	
character=Lori Kirkwood	name=Julie Warner	episodes=1 episode, 2012 	
character=Tony Rush	name=Wil Traval	episodes=1 episode, 2012 	
character=Young Debra	name=Savannah Paige Rae	episodes=1 episode, 2012 	
character=Handyman	name=Geoffrey Rivas	episodes=1 episode, 2012 	
character=Co-ed	name=Milauna Jackson	episodes=1 episode, 2006 	
character=Patty	name=Debbie Lee Carrington	episodes=1 episode, 2006 	
character=Psychiatrist	name=Albie Selznick	episodes=1 episode, 2007 	
character=Chad	name=Tyson Chambers	episodes=1 episode, 2007 	
character=Billy Fleeter	name=Jeff Chase	episodes=1 episode, 2008 	
