# http://fitlayout.github.io/resource/art59 -> https://www.imdb.com/title/tt2306299/fullcredits/
character=French Archbishop	name=Laurence Foster	episodes=4 episodes, 2015 	
character=King Hakon	name=Mishaël Lopes Cardozo	episodes=4 episodes, 2020 	
character=Priest	name=Simon Boyle	episodes=4 episodes, 2018-2019 	
character=Patriarch	name=Guy Carleton	episodes=4 episodes, 2020 	
character=Snaefrid	name=Dagny Backer Johnsen	episodes=4 episodes, 2018 	
character=King Svase	name=Anthony Brophy	episodes=4 episodes, 2018 	
character=Ealdorman 1	name=David Shannon	episodes=4 episodes, 2016-2019 	
character=Eric	name=Vladimir Kulich	episodes=3 episodes, 2013 	
character=Knut	name=Eric Higgins	episodes=3 episodes, 2013 	
character=Greenland Settler	name=Tristan McConnell	episodes=4 episodes, 2013-2020 	
character=Jarl Hrolf	name=Amy De Bhrún	episodes=3 episodes, 2013-2020 	
character=Greenland Settler	name=Ciaran O	episodes=3 episodes, 2015-2020 	
character=Greenland Settler	name=Grady	episodes=3 episodes, 2015-2020 	
character=Viking Warrior	name=Adam Winnick	episodes=1 episode, 2017-2020 	
character=Peminuit	name=Wesley French	episodes=3 episodes, 2020 	
character=Sigvard	name=Morten Suurballe	episodes=3 episodes, 2014 	
character=We	name=Phillip Lewitski	episodes=3 episodes, 2020 	
character=Jarl Thorkell	name=Fredrik Hiller	episodes=3 episodes, 2020 	
character=Law Giver	name=Morgan C. Jones	episodes=3 episodes, 2014 	
character=Young Viking	name=Finn Gillespie	episodes=3 episodes, 2020 	
character=Judith	name=Sarah Greene	episodes=3 episodes, 2014 	
character=Lord Denewulf	name=Keith McErlean	episodes=3 episodes, 2017 	
character=Saxon Scout	name=Lee Hunter	episodes=3 episodes, 2017 	
character=Kassia	name=Karima McAdams	episodes=3 episodes, 2017 	
character=King Frodo	name=Connor-Duffy	episodes=3 episodes, 2013-2019 	
character=King Frodo	name=Gavan O	episodes=3 episodes, 2013-2019 	
character=Alfred	name=Peter Michael Dillon	episodes=3 episodes, 2020 	
character=Mounted Bodyguard	name=Peter Michael Dillon	episodes=3 episodes, 2020 	
character=Male Slave	name=Mark Lavery	episodes=3 episodes, 2018 	
character=Ivar	name=Mark Lavery	episodes=3 episodes, 2018 	
character=Messenger 1	name=Danny O	episodes=3 episodes, 2019 	
character=Messenger 1	name=Connor	episodes=3 episodes, 2019 	
character=Adam	name=Dafhyd Flynn	episodes=3 episodes, 2020 	
character=Blacksmith	name=Tristan Heanue	episodes=3 episodes, 2016-2017 	
character=Anna	name=Serena Kennedy	episodes=3 episodes, 2019-2020 	
character=Lord Edgar	name=Peter Gaynor	episodes=3 episodes, 2013 	
character=Leof	name=Brendan McCormack	episodes=3 episodes, 2020 	
character=Egil	name=Charlie Kelly	episodes=3 episodes, 2017 	
character=Runa	name=Gina Costigan	episodes=3 episodes, 2019-2020 	
character=Eira	name=Kathy Monahan	episodes=3 episodes, 2019-2020 	
character=Bishop Unwan	name=Gary Murphy	episodes=3 episodes, 2013-2017 	
character=First Noble	name=Lochlann O	episodes=3 episodes, 2015 	
character=First Noble	name=Mearáin	episodes=3 episodes, 2015 	
character=Skadi	name=Aoibheann McCann	episodes=3 episodes, 2019-2020 	
character=Wilfred	name=Damien Devaney	episodes=3 episodes, 2013-2018 	
character=Second Noble	name=Conor Ryan	episodes=3 episodes, 2015 	
character=Envoy	name=Pellek	episodes=3 episodes, 2019-2020 	
character=Jarl Olavosonn	name=Tomi May	episodes=3 episodes, 2018 	
character=Kauko	name=Jouko Ahola	episodes=3 episodes, 2013 	
character=Vigrid	name=Martin Maloney	episodes=3 episodes, 2019 	
character=Warrior	name=Rick Burn	episodes=2 episodes, 2014-2020 	
character=Viking	name=Lauterio Zamparelli	episodes=1 episode, 2015-2018 	
character=Galan	name=Oliver Price	episodes=3 episodes, 2020 	
character=Ziyadat Allah	name=Kal Naga	episodes=2 episodes, 2017 	
character=Skane	name=Brent Burns	episodes=2 episodes, 2020 	
character=King Hemming	name=Erik Madsen	episodes=2 episodes, 2019 	
character=Pekitaulet	name=Carmen Moore	episodes=2 episodes, 2020 	
character=Earl Bjarni	name=Trevor Cooper	episodes=2 episodes, 2013 	
character=Nikani	name=Ellyn Jade	episodes=2 episodes, 2020 	
character=Olafur	name=Eddie Elks	episodes=2 episodes, 2013 	
character=Stender	name=Søren Pilmark	episodes=2 episodes, 2015-2016 	
character=Tostig	name=Angus MacInnes	episodes=2 episodes, 2013 	
character=Bishop Leon	name=Ivo Alexandre	episodes=2 episodes, 2020 	
character=Odin	name=Eddie Drew	episodes=2 episodes, 2013-2015 	
character=Louis	name=Mark Huberman	episodes=2 episodes, 2015 	
character=Frightened Warrior	name=Michael Hough	episodes=2 episodes, 2015 	
character=Ealdorman Werferth	name=Duncan Lacroix	episodes=2 episodes, 2014 	
character=Euphemius	name=Albano Jerónimo	episodes=2 episodes, 2017 	
character=Canute	name=Conn Rogers	episodes=2 episodes, 2019 	
character=Servant	name=Elshka Lane	episodes=2 episodes, 2020 	
character=Katia	name=Elshka Lane	episodes=2 episodes, 2020 	
character=Female Servant 	name=Rebecca Grimes	episodes=2 episodes, 2013-2017 	
character=Sorceress	name=Barbara Griffin	episodes=2 episodes, 2014 	
character=Bishop Aldulf	name=Russell Balogh	episodes=2 episodes, 2020 	
character=Brother Cenwulf	name=Will Irvine	episodes=2 episodes, 2013 	
character=Viking Farmer	name=Jack Olohan	episodes=2 episodes, 2016 	
character=Saxon 1	name=Sam Doyle	episodes=2 episodes, 2013 	
character=Judith	name=Jill Harding	episodes=2 episodes, 2015 	
character=Maid	name=Jill Harding	episodes=2 episodes, 2015 	
character=Bishop	name=Ian Brooker	episodes=2 episodes, 2020 	
character=Second Saxon Noble	name=Marty Maguire	episodes=2 episodes, 2015 	
character=Sister Annis	name=Breffni Holahan	episodes=2 episodes, 2020 	
character=Edwin	name=Sam Lucas Smith	episodes=2 episodes, 2013 	
character=Witch	name=Sandra Voe	episodes=2 episodes, 2019 	
character=Ne	name=Acahkos Johnson	episodes=2 episodes, 2020 	
character=Third Saxon Noble	name=Muiris Crowley	episodes=2 episodes, 2015 	
character=Saxon 	name=Ciaran McGlynn	episodes=2 episodes, 2015 	
character=Farmhand	name=Ciaran McGlynn	episodes=2 episodes, 2015 	
character=Torturer	name=Marko Leht	episodes=2 episodes, 2019 	
character=Jesus	name=Carl Shaaban	episodes=2 episodes, 2014-2015 	
character=Drunken Saxon	name=Robert Fawsitt	episodes=2 episodes, 2014-2015 	
character=King Angantyr	name=Mark Winnick	episodes=2 episodes, 2019 	
