# http://fitlayout.github.io/resource/art85 -> https://www.imdb.com/title/tt2442560/fullcredits/
character=Evadne Barwell	name=Gwynne McElveen	episodes=2 episodes, 2022 	
character=Gilly Ray	name=Stefan Healy	episodes=2 episodes, 2022 	
character=Joe Ray	name=Ciaran Clancy	episodes=2 episodes, 2022 	
character=Police Commissioner	name=Franc Bruneau	episodes=2 episodes, 2022 	
character=Policeman Outside Russell	name=Benedict Relton	episodes=2 episodes, 2014 	
character=House	name=Benedict Relton	episodes=2 episodes, 2014 	
character=O	name=Ciarán Owens	episodes=2 episodes, 2022 	
character=Donnell	name=Ciarán Owens	episodes=2 episodes, 2022 	
character=Liam	name=Darragh O	episodes=2 episodes, 2022 	
character=Liam	name=Toole	episodes=2 episodes, 2022 	
character=Clive Macmillan	name=Henry Garrett	episodes=2 episodes, 2014 	
character=Violinist	name=Greg Kolpakchi	episodes=1 episode, 2016 	
character=Black Lion Boy	name=Harrison Vaughan	episodes=1 episode, 2013-2014 	
character=Audrey Changretta	name=Brid Brennan	episodes=2 episodes, 2016-2017 	
character=Grieving Woman	name=Erin Shanagher	episodes=2 episodes, 2014-2017 	
character=Messenger	name=Liam Scholes	episodes=1 episode, 2019-2022 	
character=Waiter	name=Marc Esse	episodes=1 episode, 2016 	
character=Arthur Bigge	name=Donald Sumpter	episodes=2 episodes, 2017 	
character=Billy Factory worker	name=James Brogden	episodes=1 episode, 2017 	
character=New Peaky Number 12	name=Jonathan Garratt	episodes=1 episode, 2017 	
character=Boxing Trainer Seconds	name=Craig Carr	episodes=1 episode, 2017 	
character=Referee	name=James Mccosh	episodes=2 episodes, 2017 	
character=The Digbeth Kid	name=Bethan Daisy Caddick	episodes=1 episode, 2014 	
character=Sister	name=Bethan Daisy Caddick	episodes=1 episode, 2014 	
character=Stanly Chapman	name=John-Paul Hurley	episodes=1 episode, 2013 	
character=The Digbeth Kid	name=James Eeles	episodes=1 episode, 2014 	
character=Peaky Blinders Driver	name=Darren Connolly	episodes=1 episode, 2014 	
character=Butler	name=William Andrews	episodes=1 episode, 2016 	
character=Birmingham Hospital Nurse	name=Hayley Doherty	episodes=1 episode, 2014 	
character=General Curran	name=Richard Dillane	episodes=1 episode, 2016 	
character=Chin	name=Kunjue Li	episodes=1 episode, 2013 	
character=Marston	name=Nick Holder	episodes=1 episode, 2013 	
character=Arthur Senior	name=Tommy Flanagan	episodes=1 episode, 2013 	
character=Priest	name=Dominic Coleman	episodes=1 episode, 2016 	
character=Carlo	name=Pedro Caxade	episodes=1 episode, 2016 	
character=Black Lion Barman	name=Colin Connor	episodes=1 episode, 2014 	
character=Wedding Lady 1	name=Anna Wilson-Hall	episodes=1 episode, 2016 	
character=Byrne	name=Tom Vaughan-Lawlor	episodes=1 episode, 2013 	
character=Ryan	name=Karl Shiels	episodes=1 episode, 2013 	
character=Bethany Boswell	name=Frances Tomelty	episodes=1 episode, 2016 	
character=Wedding Lady 2	name=Sara Beasley	episodes=1 episode, 2016 	
character=Zilpha Lee	name=Therese Bradley	episodes=1 episode, 2013 	
character=Bonnie	name=Barry Aird	episodes=1 episode, 2014 	
character=Micky	name=Rupert Procter	episodes=1 episode, 2014 	
character=Border Officer	name=Sam Benjamin	episodes=1 episode, 2016 	
character=Business Man	name=Bartley Burke	episodes=1 episode, 2016 	
character=Mrs. Donovan	name=Lorraine Horgan	episodes=1 episode, 2013 	
character=Young Maid	name=Maisie Turpie	episodes=1 episode, 2014 	
character=Polly	name=Maisie Turpie	episodes=1 episode, 2014 	
character=Guard	name=Perry Fitzpatrick	episodes=1 episode, 2013 	
character=Condemned Man	name=Richard Patterson	episodes=1 episode, 2014 	
character=Lady 1	name=Caroline Lawrie	episodes=1 episode, 2016 	
character=Kavetka	name=Nina Yndis	episodes=1 episode, 2016 	
character=James Monkland	name=John Albasiny	episodes=1 episode, 2016 	
character=Mother Superior	name=Kate Dickie	episodes=1 episode, 2019 	
character=Peter	name=Robert Hook	episodes=1 episode, 2019 	
character=Saul	name=Matthew Marcelis	episodes=1 episode, 2022 	
character=Esme	name=Daniel Boyarsky	episodes=1 episode, 2022 	
character=Gypsy 	name=Daniel Boyarsky	episodes=1 episode, 2022 	
character=Camp	name=Daniel Boyarsky	episodes=1 episode, 2022 	
character=Reporter	name=Jonty Stephens	episodes=1 episode, 2013 	
character=Stefan Radischevky	name=Josef Altin	episodes=1 episode, 2016 	
character=Lady 2	name=Helen Anderson	episodes=1 episode, 2016 	
character=Party Worker	name=Layla Shirley	episodes=1 episode, 2022 	
character=Mrs. Dorothy Cox	name=Elexi Walker	episodes=1 episode, 2022 	
character=Anton Kaledin	name=Richard Brake	episodes=1 episode, 2016 	
character=Lady 3	name=Kate Bowes Renna	episodes=1 episode, 2016 	
character=Baba	name=Vincent Wang	episodes=1 episode, 2019 	
character=Rally Journalist	name=Alan Drake	episodes=1 episode, 2022 	
character=Doctor	name=Gary Bates	episodes=1 episode, 2022 	
character=Ruby	name=Gary Bates	episodes=1 episode, 2022 	
character=Fishing Boat Captain	name=Jean-Philippe Ricci	episodes=1 episode, 2022 	
character=Lady 4	name=Debra Penny	episodes=1 episode, 2016 	
character=Stacker	name=Matthew Jure	episodes=1 episode, 2019 	
character=Jerry	name=Russ Bain	episodes=1 episode, 2022 	
character=Eaton Sq. Butler	name=Christopher Wright	episodes=1 episode, 2022 	
character=Sandra	name=Emma Pearce	episodes=1 episode, 2013 	
character=Briggs	name=Charlie Anson	episodes=1 episode, 2014 	
character=Officer 1	name=Timothy Harker	episodes=1 episode, 2016 	
character=Bad Nurse	name=Paula Wharton	episodes=1 episode, 2016 	
character=Leon Greene	name=Elliot Levey	episodes=1 episode, 2019 	
character=Mrs. Conners	name=Gemma Paige North	episodes=1 episode, 2019 	
character=Young Peter	name=Reuben Clarke	episodes=1 episode, 2019 	
character=Docker	name=Winston Branche	episodes=1 episode, 2022 	
character=Local Doctor	name=Jonathan Markwood	episodes=1 episode, 2022 	
character=Medium	name=Jane Wood	episodes=1 episode, 2014 	
character=Winson Green Heavy	name=Martin Askew	episodes=1 episode, 2014 	
character=Officer 2	name=John Purcell	episodes=1 episode, 2016 	
character=Li	name=Gana Bayarsaikhan	episodes=1 episode, 2019 	
character=Young Girl	name=Lola Mawdsley	episodes=1 episode, 2019 	
character=Cécile	name=Laura Presgurvic	episodes=1 episode, 2022 	
character=Gypsy Singer	name=Sam Lee	episodes=1 episode, 2013 	
character=Woman at Seance	name=Sam Battersea	episodes=1 episode, 2014 	
character=Young Boy	name=Charlie Knight	episodes=1 episode, 2019 	
character=Race Commentator	name=Jon Glover	episodes=1 episode, 2014 	
character=Eamonn Duggan	name=Rory Gallagher	episodes=1 episode, 2014 	
character=Gilbert Palmer	name=Paul Cawley	episodes=1 episode, 2016 	
character=Sandra	name=Alison Todd	episodes=1 episode, 2019 	
character=Wilfred The Referee	name=Douglas Russell	episodes=1 episode, 2022 	
character=Gypsy Woman	name=Shaila Alvarez	episodes=1 episode, 2022 	
character=Sir Ian Carleton	name=Guy Williams	episodes=1 episode, 2014 	
character=Royal Bodyguard	name=Tim Delap	episodes=1 episode, 2014 	
character=Eden Club Doorman	name=Alastair Barley	episodes=1 episode, 2014 	
character=Prison Reception Guard	name=Kivan Dene	episodes=1 episode, 2014 	
character=Older Russian	name=Sean Buckley	episodes=1 episode, 2016 	
character=Quaker Friend	name=Robbie Keane	episodes=1 episode, 2019 	
character=Old Man	name=Ian Blower	episodes=1 episode, 2019 	
character=Irish Priest	name=Patrick O	episodes=1 episode, 2022 	
character=Irish Priest	name=Brien	episodes=1 episode, 2022 	
character=Auctioneer	name=Nigel Hastings	episodes=1 episode, 2014 	
character=Angel Nurse	name=Sarah Gallagher	episodes=1 episode, 2016 	
character=Asylum Nurse	name=Michael Keogh	episodes=1 episode, 2019 	
character=Billy Boys Leader	name=Douglas Rankine	episodes=1 episode, 2019 	
character=Man 1	name=David Perks	episodes=1 episode, 2019 	
character=Assailant 	name=Zachary Hart	episodes=1 episode, 2022 	
character=Man 2	name=Adam Speers	episodes=1 episode, 2019 	
character=Small Heath Policeman	name=Thomas Leggett	episodes=1 episode, 2022 	
character=Assailant 	name=Robin Lyons	episodes=1 episode, 2022 	
character=Communist Comrade	name=James Boyland	episodes=1 episode, 2014 	
character=Tory MP	name=Malcolm Tomlinson	episodes=1 episode, 2019 	
character=Paddy Watts	name=Joe Macaulay	episodes=1 episode, 2014 	
character=Flying Squad Officer	name=Ian Conningham	episodes=1 episode, 2016 	
character=Lord Suckerby	name=Tim Woodward	episodes=1 episode, 2019 	
character=Handsome Man	name=Adam Lawrence	episodes=1 episode, 2014 	
character=Marquis Older Barman	name=Nicolas Tennant	episodes=1 episode, 2014 	
character=Michael Levitt	name=Elliot Cowan	episodes=1 episode, 2019 	
character=Monsieur Silk	name=Dustin Demri-Burns	episodes=1 episode, 2016 	
character=Mother	name=Tanya-Loretta Dee	episodes=1 episode, 2022 	
character=Holdford	name=David Chabeaux	episodes=1 episode, 2022 	
character=Workman	name=David Chabeaux	episodes=1 episode, 2022 	
character=Lazarus	name=Jason Williamson	episodes=1 episode, 2022 	
character=Passenger	name=Donnell	episodes=1 episode, 2016 	
character=Passenger	name=Dennis O	episodes=1 episode, 2016 	
character=Officer Collins	name=Adam Collins	episodes=1 episode, 2016 	
character=Billy Mills	name=Jamie Kenna	episodes=1 episode, 2017 	
character=Policeman	name=Nigel Boyle	episodes=1 episode, 2017 	
character=Edward Roberts	name=Jolyon Coy	episodes=1 episode, 2017 	
