# http://fitlayout.github.io/resource/art19 -> https://www.imdb.com/title/tt0141842/fullcredits/
character=Blanca Selgado	name=Dania Ramirez	episodes=5 episodes, 2006-2007 	
character=Aunt Quintina Blundetto	name=Rae Allen	episodes=5 episodes, 2004 	
character=Johnny Boy Soprano	name=Joseph Siravo	episodes=5 episodes, 1999-2007 	
character=Walden Belfiore	name=Frank John Hughes	episodes=5 episodes, 2007 	
character=Jason Gervasi	name=Joe Perrino	episodes=5 episodes, 2007 	
character=Liz La Cerva	name=Patty McCormack	episodes=5 episodes, 2000-2006 	
character=Perry Annunziata	name=Louis Gross	episodes=5 episodes, 2006 	
character=Vito Spatafore, Jr.	name=Frank Borrelli	episodes=5 episodes, 2006 	
character=Francesca Spatafore	name=Paulina Gerzon	episodes=5 episodes, 2006-2007 	
character=Danny Scalercio	name=Bruce MacVittie	episodes=5 episodes, 2002 	
character=Barbara Giglione	name=Nicole Burdette	episodes=4 episodes, 2000-2001 	
character=Dr. Freid	name=Lewis J. Stadlen	episodes=5 episodes, 2000-2007 	
character=Jean Cusamano	name=Saundra Santiago	episodes=4 episodes, 1999-2007 	
character=Nicole Lupertazzi	name=Allison Dunbar	episodes=5 episodes, 2004-2007 	
character=Donny K.	name=Raymond Franza	episodes=4 episodes, 2000-2002 	
character=Court Clerk	name=Julie Ross	episodes=5 episodes, 2002 	
character=Domenica Baccalieri	name=Avery Elaine Pulcher	episodes=5 episodes, 2007 	
character=Domenica Baccalieri	name=Emily Ruth Pulcher	episodes=5 episodes, 2007 	
character=Domenica Baccalieri	name=Kimberly Laughlin	episodes=5 episodes, 2006 	
character=Domenica Baccalieri	name=Brianna Laughlin	episodes=5 episodes, 2006 	
character=Wiseguy	name=Greg D	episodes=2 episodes, 2001-2006 	
character=Wiseguy	name=Agostino	episodes=2 episodes, 2001-2006 	
character=Julianna Skiff	name=Julianna Margulies	episodes=4 episodes, 2006-2007 	
character=Feech La Manna	name=Robert Loggia	episodes=4 episodes, 2004 	
character=Sean Gismonte	name=Chris Tardio	episodes=4 episodes, 2000 	
character=Dino Zerilli	name=Andy Davoli	episodes=4 episodes, 2001 	
character=Caitlin Rucker	name=Ari Graynor	episodes=4 episodes, 2001 	
character=Jackie Aprile	name=Michael Rispoli	episodes=4 episodes, 1999-2001 	
character=Jim Witowski	name=John Costelloe	episodes=4 episodes, 2006 	
character=Corky Caporale	name=Edoardo Ballerini	episodes=4 episodes, 2006-2007 	
character=Jason La Penna	name=Will McCormack	episodes=4 episodes, 1999-2001 	
character=Uncle Pat	name=Frank Albanese	episodes=4 episodes, 2004-2007 	
character=Aaron Arkaway	name=Turk Pipkin	episodes=4 episodes, 2001-2006 	
character=Matt Testa	name=Cameron Boyd	episodes=4 episodes, 2002-2006 	
character=Devin Pillsbury	name=Jessica Dunphy	episodes=4 episodes, 2002-2004 	
character=Jason Parisi	name=Michael Drayer	episodes=4 episodes, 2007 	
character=Rhiannon	name=Emily Wickersham	episodes=4 episodes, 2006-2007 	
character=Terry Doria	name=Ron Castellano	episodes=4 episodes, 2004-2007 	
character=Anthony Infante	name=Lou Martini Jr.	episodes=4 episodes, 2006-2007 	
character=J.T. Dolan	name=Tim Daly	episodes=4 episodes, 2004-2007 	
character=FBI Tech 	name=Gary Evans	episodes=4 episodes, 2001 	
character=Brian Spatafore	name=Vincent J. Orofino	episodes=4 episodes, 2000-2007 	
character=Brendan Filone	name=Anthony DeSando	episodes=3 episodes, 1999 	
character=Sophia Baccalieri	name=Lexie Sperduto	episodes=4 episodes, 2002 	
character=Hillel	name=Sig Libowitz	episodes=4 episodes, 1999-2006 	
character=Frankie Cortese	name=Tony Siragusa	episodes=4 episodes, 2004 	
character=Justin Blundetto	name=Dennis Aloia	episodes=4 episodes, 2004 	
character=Jason Blundetto	name=Kevin Aloia	episodes=4 episodes, 2004 	
character=Donna Parisi	name=Anna Mancini	episodes=4 episodes, 2002-2007 	
character=JoJo Palmice	name=Michele Santopietro	episodes=4 episodes, 1999-2002 	
character=Vitro	name=Louis Mustillo	episodes=3 episodes, 2004-2006 	
character=Sal	name=Louis Mustillo	episodes=3 episodes, 2004-2006 	
character=Salvatore 	name=Louis Mustillo	episodes=3 episodes, 2004-2006 	
character=Hector Selgado	name=Kobi George	episodes=4 episodes, 2006-2007 	
character=Hector Selgado	name=Kadin George	episodes=4 episodes, 2006-2007 	
character=Jimmy Petrille	name=Vinny Vella	episodes=3 episodes, 1999-2004 	
character=Robert Wegler	name=David Strathairn	episodes=3 episodes, 2004 	
character=Richard La Penna	name=Richard Romanus	episodes=3 episodes, 1999-2002 	
character=Dr. Lior Plepler	name=Ron Leibman	episodes=3 episodes, 2006 	
character=Dick Barone	name=Joe Lisi	episodes=3 episodes, 1999-2000 	
character=Dr. Schreck	name=Matthew Sussman	episodes=3 episodes, 2000-2002 	
character=Chucky Signore	name=Sal Ruffino	episodes=3 episodes, 1999 	
character=Jack Massarone	name=Robert Desiderio	episodes=3 episodes, 2000-2004 	
character=Lorraine Calluzzo	name=Arbanville	episodes=3 episodes, 2004 	
character=Lorraine Calluzzo	name=Patti D	episodes=3 episodes, 2004 	
character=Reverend James Jr.	name=Gregory Alan Williams	episodes=3 episodes, 2000-2001 	
character=Lois Pettit	name=Manon Halliburton	episodes=3 episodes, 2002 	
character=Young Junior Soprano	name=Rocco Sisto	episodes=3 episodes, 1999-2007 	
character=Matush	name=Nick E. Tarabay	episodes=3 episodes, 2001-2004 	
