# http://fitlayout.github.io/resource/art5 -> https://www.imdb.com/title/tt0410975/fullcredits/
character=Ms. Elenora Butters	name=Mary Pat Gleason	episodes=3 episodes, 2004-2012 	
character=Dr. Lippman	name=Alison Martin	episodes=3 episodes, 2011 	
character=Jordana Geist	name=Stacey Travis	episodes=3 episodes, 2004-2007 	
character=Detective Copeland	name=Farrell	episodes=3 episodes, 2005 	
character=Detective Copeland	name=Conor O	episodes=3 episodes, 2005 	
character=Headmaster Lentz	name=Harry S. Murphy	episodes=3 episodes, 2004-2005 	
character=Helen Rowland	name=Kathryn Harrold	episodes=3 episodes, 2004-2006 	
character=Maria Scott	name=Ion Overman	episodes=3 episodes, 2009 	
character=Monique Polier	name=Kathleen York	episodes=3 episodes, 2006-2008 	
character=Jenny Hunter-McDermott	name=Isabella Acres	episodes=3 episodes, 2011 	
character=Natalie Klein	name=Nike Doukas	episodes=3 episodes, 2004-2012 	
character=David Bradley	name=Adrian Pasdar	episodes=3 episodes, 2005 	
character=Milton Lang	name=Mike Farrell	episodes=3 episodes, 2007-2008 	
character=Board Chairman	name=Michael Kagan	episodes=3 episodes, 2010-2011 	
character=Addison Prudy	name=Paul Dooley	episodes=3 episodes, 2005 	
character=Benjamin Katz	name=Jake Soldera	episodes=3 episodes, 2008-2011 	
character=Sister Mary Bernard	name=Melinda Page Hamilton	episodes=3 episodes, 2005-2006 	
character=Detective Furst	name=Karl Makinen	episodes=3 episodes, 2009-2010 	
character=Morty Flickman	name=Bob Newhart	episodes=3 episodes, 2005 	
character=Libby Collins	name=Nichole Hiltz	episodes=3 episodes, 2006 	
character=Mr. Katzburg	name=Michael Durrell	episodes=3 episodes, 2006 	
character=Jack Pinkham	name=Kevin Symons	episodes=3 episodes, 2010 	
character=Charlie James	name=Sayeed Shahidi	episodes=3 episodes, 2011 	
character=Eric	name=Robert Sudduth	episodes=3 episodes, 2009 	
character=Frank Helm	name=Eddie McClintock	episodes=3 episodes, 2006 	
character=Irina Kosokov	name=Helena Mattsson	episodes=3 episodes, 2010 	
character=Kim	name=Kylie Sparks	episodes=3 episodes, 2007 	
character=Virginia Hildebrand	name=Frances Conroy	episodes=3 episodes, 2008 	
character=Rachel Miller	name=Mackenzie Brooke Smith	episodes=3 episodes, 2009-2012 	
character=Tish Atherton	name=Jill Brennan	episodes=3 episodes, 2005-2006 	
character=Helena	name=Soledad St. Hilaire	episodes=3 episodes, 2007 	
character=Bob Fisk	name=Cheyenne Wilbur	episodes=3 episodes, 2004-2005 	
character=Debbie	name=Leslie Karpman	episodes=3 episodes, 2008-2009 	
character=Jerry	name=Mitch Silpa	episodes=3 episodes, 2006-2007 	
character=Jail Cell Officer	name=Mark Brady	episodes=3 episodes, 2004-2008 	
character=Marilyn	name=Jayne Entwistle	episodes=3 episodes, 2011-2012 	
character=Ashley Bukowski	name=Emily Christine	episodes=2 episodes, 2004-2005 	
character=Dr. Rushton	name=George Wyner	episodes=3 episodes, 2007-2009 	
character=Nurse Parker	name=Wendy Worthington	episodes=2 episodes, 2006-2007 	
character=Detective Fallon	name=James Shanklin	episodes=2 episodes, 2005-2006 	
character=Young Dylan Mayfair	name=Hailee Denham	episodes=2 episodes, 2007-2008 	
character=Doctor	name=Dougald Park	episodes=2 episodes, 2006 	
character=Claudia Sanchez	name=Justina Machado	episodes=2 episodes, 2012 	
character=Felix Bergman	name=Leslie Jordan	episodes=2 episodes, 2011 	
character=Frank	name=Patrick Fabian	episodes=2 episodes, 2012 	
character=Dick Barrows	name=Gregory Itzin	episodes=2 episodes, 2011 	
character=Rachel	name=Jillian Armenante	episodes=2 episodes, 2011 	
character=Marisa Sanchez	name=Daniela Bobadilla	episodes=2 episodes, 2012 	
