# http://fitlayout.github.io/resource/art63 -> https://www.imdb.com/title/tt0106179/fullcredits/
character=Able Gardner	name=Allan Lysell	episodes=2 episodes, 1994-1995 	
character=Agent Rich	name=Fred Henderson	episodes=2 episodes, 1994 	
character=Doctor	name=Robert Rozen	episodes=2 episodes, 1995-1997 	
character=Dr. Barnes	name=Michael Ensign	episodes=2 episodes, 1999 	
character=Gravedigger	name=Brent Sexton	episodes=2 episodes, 2000-2001 	
character=Mrs. Dawson	name=Sheila Moore	episodes=2 episodes, 1993-1994 	
character=Gwen Goodensnake	name=Renae Morriseau	episodes=2 episodes, 1994-1995 	
character=Dr. Spitz	name=Leslie Carlson	episodes=2 episodes, 1994 	
character=Rich Turner	name=Dean Wray	episodes=2 episodes, 1995-1998 	
character=Calusari 	name=Bill Croft	episodes=2 episodes, 1995-1997 	
character=Dr. Larry Steen	name=Robert Thurston	episodes=2 episodes, 1995-1997 	
character=Dr. Simon Bruin	name=Bob Morrisey	episodes=2 episodes, 1996-1997 	
character=Agent Sarah Sheherlis	name=Susan Bain	episodes=2 episodes, 1996-1997 	
character=Dr. Calderon	name=Gerard Plunkett	episodes=2 episodes, 1997 	
character=Barrington	name=David Hurtubise	episodes=2 episodes, 1994-1997 	
character=Foreman	name=Ron Sauvé	episodes=2 episodes, 1994-1996 	
character=Dr. Daly	name=Jay Brazeau	episodes=2 episodes, 1994 	
character=Doctor Collins	name=Frank C. Turner	episodes=2 episodes, 1994 	
character=Brenda	name=Gabrielle Miller	episodes=2 episodes, 1995-1996 	
character=Agent	name=Dan Zukovic	episodes=2 episodes, 1996-2018 	
character=Scott Garrett	name=Greg Michaels	episodes=2 episodes, 1997 	
character=Agent Arthur Dales	name=Darren McGavin	episodes=2 episodes, 1998-1999 	
character=Barbara Doggett	name=Barbara Patrick	episodes=2 episodes, 2002 	
character=Dr. Louise Colquitt	name=Veena Sood	episodes=2 episodes, 1993-2016 	
character=Attorney	name=Andrew Airlie	episodes=2 episodes, 1993-1996 	
character=Doctor Plith	name=Jerry Wasserman	episodes=2 episodes, 1994 	
character=Marilyn	name=Denalda Williams	episodes=2 episodes, 1995-1996 	
character=Senator Albert Sorenson	name=Fritz Weaver	episodes=2 episodes, 1996 	
character=Aide	name=Peter Hanlon	episodes=2 episodes, 1996 	
character=Beggar	name=Patrick Keating	episodes=2 episodes, 1998-2018 	
character=Agent Flagler	name=Martin Grey	episodes=2 episodes, 1999-2000 	
character=Amber Lynn LaPierre	name=Megan Corletto	episodes=2 episodes, 2000 	
