# http://fitlayout.github.io/resource/art20 -> https://www.imdb.com/title/tt2243973/fullcredits/
character=Christopher O	name=Nicholas Bode	episodes=1 episode, 2013 	
character=Lenora	name=Emily Klassen	episodes=1 episode, 2013 	
character=PT Officer	name=Vincent Rother	episodes=1 episode, 2013 	
character=Pre-Teen Cello Player	name=Zachary Bloch	episodes=1 episode, 2013 	
character=Reporter 	name=Brendan Halloran	episodes=1 episode, 2013 	
character=Roger Brunner	name=Mark Munro	episodes=1 episode, 2013 	
character=Guard	name=Omar Habib	episodes=1 episode, 2013 	
character=Inmate 	name=Earl-Antham Chrysostom	episodes=1 episode, 2013 	
character=Troy	name=Liam MacDonald	episodes=1 episode, 2013 	
character=Little Girl	name=Peyton Kennedy	episodes=1 episode, 2014 	
character=Janitor	name=Greg Dunham	episodes=1 episode, 2014 	
character=Veterinarian	name=Sally Cahill	episodes=1 episode, 2015 	
character=Mrs. Jacobi	name=Cheryl Poirier	episodes=1 episode, 2015 	
character=Chinese Dentist	name=Rory Moy	episodes=1 episode, 2015 	
character=C.J. Lincoln	name=Austin MacDonald	episodes=1 episode, 2013 	
character=Nurse Shell	name=Ana Shepherd	episodes=1 episode, 2013 	
character=Steve	name=Graeme Jokic	episodes=1 episode, 2013 	
character=Mr. Komeda	name=Michael Park Ingram	episodes=1 episode, 2013 	
character=Male Nurse	name=Max White	episodes=1 episode, 2013 	
character=Michelle Brunner	name=Elana McMurtry	episodes=1 episode, 2013 	
character=Douglas Wilson	name=Carter Siddall	episodes=1 episode, 2013 	
character=Thomas Marlow	name=Wayne Downer	episodes=1 episode, 2013 	
character=Reporter 	name=Steven Pigozzo	episodes=1 episode, 2013 	
character=Shrike Victim 	name=Eve Gane	episodes=1 episode, 2013 	
character=Rec 	name=Eli Ham	episodes=1 episode, 2014 	
character=Parks 	name=Eli Ham	episodes=1 episode, 2014 	
character=Car Driver	name=Michael Dunston	episodes=1 episode, 2015 	
character=Mr. Jacobi	name=Jerry Getty	episodes=1 episode, 2015 	
character=Chinese Tattoo Artist	name=Chris Ip	episodes=1 episode, 2015 	
character=Jesse Turner	name=Brendan Heard	episodes=1 episode, 2013 	
character=Dead Man	name=Daniel von Diergardt	episodes=1 episode, 2013 	
character=Andrew Caldwell	name=Shant Srabian	episodes=1 episode, 2013 	
character=Shrike Victim 	name=Emma Gibbs	episodes=1 episode, 2013 	
character=Reporter 	name=Audra Yulanda Gray	episodes=1 episode, 2013 	
character=Jason	name=Kaiman Teevins	episodes=1 episode, 2013 	
character=Shrike Victim 	name=Eve Ganes	episodes=1 episode, 2013 	
character=Rec 	name=Kevin Whalen	episodes=1 episode, 2014 	
character=Parks 	name=Kevin Whalen	episodes=1 episode, 2014 	
character=Jacobi Boy	name=Nicky Cappella	episodes=1 episode, 2015 	
character=Funeral Director	name=Scott Anderson	episodes=1 episode, 2015 	
character=Mr. Lombard	name=Peter Spence	episodes=1 episode, 2015 	
character=Pharmacist	name=Michael Torontow	episodes=1 episode, 2013 	
character=Police Officer	name=Rob Norman	episodes=1 episode, 2013 	
character=Shrike Victim 	name=Jessie Saunders-Drutz	episodes=1 episode, 2013 	
character=Mrs. Turner	name=Sophie Holdstock	episodes=1 episode, 2013 	
character=Repairman	name=Greg Dunfield	episodes=1 episode, 2013 	
character=Jacobi Girl	name=Saige Aurora	episodes=1 episode, 2015 	
character=Leeds Boy 	name=Devon Phillipson	episodes=1 episode, 2015 	
character=Joel Summers	name=Jason Blicker	episodes=1 episode, 2013 	
character=Dixie	name=Suzanne Coy	episodes=1 episode, 2013 	
character=Nurse	name=Diane Johnstone	episodes=1 episode, 2013 	
character=Garage Manager	name=George Masswohl	episodes=1 episode, 2013 	
character=Convenience Store Clerk	name=Azeem Nathoo	episodes=1 episode, 2013 	
character=Leeds Boy 	name=Gabriel Varga-Watt	episodes=1 episode, 2015 	
character=Devon Silvestri	name=Pierre Simpson	episodes=1 episode, 2013 	
character=Halloran	name=Duncan McLeod	episodes=1 episode, 2013 	
