# http://fitlayout.github.io/resource/art2 -> https://www.imdb.com/title/tt4574334/fullcredits/
character=Scientist 	name=Jenne Kang	episodes=2 episodes, 2022 	
character=Lead Lab Guard	name=Jason Vail	episodes=2 episodes, 2022 	
character=Prison Booth Guard 	name=Artur Svorobovich	episodes=2 episodes, 2022 	
character=Chrissy	name=Candice Rose	episodes=2 episodes, 2022 	
character=Mom	name=Candice Rose	episodes=2 episodes, 2022 	
character=Elderly Woman	name=Avis-Marie Barnes	episodes=1 episode, 2017 	
character=Billy	name=Beth Riesgraf	episodes=1 episode, 2019 	
character=Mother	name=Beth Riesgraf	episodes=1 episode, 2019 	
character=Dad	name=Christopher Strand	episodes=2 episodes, 2022 	
character=Chrissy	name=Christopher Strand	episodes=2 episodes, 2022 	
character=Scientist 	name=Samuel Elliott Whisnant	episodes=2 episodes, 2022 	
character=Mary Mack Girl 	name=Shae Britt	episodes=1 episode, 2016 	
character=Jen	name=Jackie Dallas	episodes=1 episode, 2016 	
character=English Teacher	name=Danny Boushebel	episodes=1 episode, 2016 	
character=Technician	name=Lucius Baston	episodes=1 episode, 2016 	
character=Young Billy	name=Christopher Convery	episodes=1 episode, 2019 	
character=Victor Creel	name=Robert Englund	episodes=1 episode, 2022 	
character=Test Subject	name=Jason Davis	episodes=1 episode, 2016 	
character=Doctor Zharkov	name=Arthur Darbinyan	episodes=1 episode, 2019 	
character=Movie Theatre Manager	name=Charles Green	episodes=1 episode, 2016 	
character=Greg McCorkle	name=Arthur Lee Dozier	episodes=1 episode, 2016 	
character=Sara Hopper	name=Elle Graham	episodes=1 episode, 2016 	
character=Hunting Store Owner	name=Adam Boyer	episodes=1 episode, 2016 	
character=State Trooper	name=Ron Fallica	episodes=1 episode, 2016 	
character=Pastor Charles	name=Bill Eudaly	episodes=1 episode, 2016 	
character=Director Anthony Hatch	name=Ed Amatrudo	episodes=1 episode, 2022 	
character=Patty	name=Marianne Fraulo	episodes=1 episode, 2016 	
character=Jennifer Hayes	name=Kaylee Glover	episodes=1 episode, 2016 	
character=Middle-Aged Man	name=James DuMont	episodes=1 episode, 2017 	
character=Russian Scientist	name=Yasen Peyankov	episodes=1 episode, 2019 	
character=Russian Prisoner	name=Mo Anouti	episodes=1 episode, 2019 	
character=Mom	name=Amy Parrish	episodes=1 episode, 2016 	
character=Troy	name=Amy Parrish	episodes=1 episode, 2016 	
character=Ground Controller	name=Adam Gagan	episodes=1 episode, 2016 	
character=Exam Room Nurse	name=Sheena Kharazmi	episodes=1 episode, 2017 	
character=Ozerov 	name=Misha Kuznetsov	episodes=1 episode, 2019 	
character=Russian Interrogator	name=Misha Kuznetsov	episodes=1 episode, 2019 	
character=Russian Worker 	name=Alexander Babara	episodes=1 episode, 2019 	
character=M.P. Officer Patrick	name=Miles Mussenden	episodes=1 episode, 2016 	
character=Staff Nurse Caitlin	name=Kerry Cahill	episodes=1 episode, 2017 	
character=ER Doctor	name=Mary Kraft	episodes=1 episode, 2017 	
character=Teenager	name=Nicholas Cirillo	episodes=1 episode, 2019 	
character=Russian Guard	name=Nikita Bogolyubov	episodes=1 episode, 2019 	
character=Russian Worker 	name=Nodir Buriev	episodes=1 episode, 2019 	
character=Middle School Boy	name=Evan Brinkman	episodes=1 episode, 2017 	
character=Doctor 	name=Brian Lafontaine	episodes=1 episode, 2017 	
character=Young Girl 	name=Harper Cavanaugh	episodes=1 episode, 2017 	
character=Swingset	name=Harper Cavanaugh	episodes=1 episode, 2017 	
character=Angry Moviegoer 	name=Angie Dillard	episodes=1 episode, 2019 	
character=Government Agent 	name=Tonya Bludsworth	episodes=1 episode, 2017 	
character=Lead Rift Soldier	name=Wendel A. Matthews	episodes=1 episode, 2017 	
character=Jazzercise Lady	name=Megan Hayes	episodes=1 episode, 2019 	
character=Paramedic	name=Suehyla El-Attar Young	episodes=1 episode, 2019 	
character=Video Store Patron 	name=Kyle Dixon	episodes=1 episode, 2019 	
character=Gas Station Cashier	name=Michael Silvio Fortino	episodes=1 episode, 2019 	
character=Angry Moviegoer 	name=John Mangan	episodes=1 episode, 2019 	
character=Sandra	name=Bethany Anne Lind	episodes=1 episode, 2016 	
character=Funeral Director	name=Jon Kohler	episodes=1 episode, 2016 	
character=Female Clerk	name=Linda Kang	episodes=1 episode, 2016 	
character=Russian Man	name=Andre Pushkin	episodes=1 episode, 2016 	
character=Neurologist	name=Dell	episodes=1 episode, 2017 	
character=Neurologist	name=Brandon O	episodes=1 episode, 2017 	
character=Lab Technician	name=Cory Chapman	episodes=1 episode, 2017 	
character=Swingset	name=Bethany DeZelle	episodes=1 episode, 2017 	
character=Mother 	name=Bethany DeZelle	episodes=1 episode, 2017 	
character=Evil Russian	name=Kaiser Johnson	episodes=1 episode, 2019 	
character=Russian Prison Guard 	name=Dean Grimes	episodes=1 episode, 2019 	
character=Russian Scientist	name=Alexander Chernyshev	episodes=1 episode, 2019 	
character=Gravitron Operator	name=Jennifer A. Martin	episodes=1 episode, 2019 	
character=Hawkins Doctor	name=Michael Hickey	episodes=1 episode, 2019 	
character=String Quartet 	name=Michael Brooks	episodes=1 episode, 2019 	
character=Morgue Worker	name=Shawn Levy	episodes=1 episode, 2016 	
character=Grocery Store Manager	name=Kevin Patrick Murphy	episodes=1 episode, 2016 	
character=Cute Girl	name=Marcelle LeBlanc	episodes=1 episode, 2017 	
character=Doctor 	name=Vince Pisani	episodes=1 episode, 2017 	
character=Gas Station Clerk	name=Keith Brooks	episodes=1 episode, 2017 	
character=Russian Goon 	name=Aaron Matthews	episodes=1 episode, 2019 	
character=Russian Officer	name=Yevgeniy Kartashov	episodes=1 episode, 2019 	
character=Russian Mechanic	name=Serge Levin	episodes=1 episode, 2019 	
character=Delivery Man	name=Daryn Kahn	episodes=1 episode, 2019 	
character=Eagle-Eyed Guard	name=Povilas Barzdzius	episodes=1 episode, 2022 	
character=Test Pilot Shepard	name=Cody Robinson	episodes=1 episode, 2016-2022 	
character=Rift Soldier 	name=Michael Shenefelt	episodes=1 episode, 2017 	
character=Doris 	name=Suzanne Jordan Roush	episodes=1 episode, 2017 	
character=MS Receptionist	name=Suzanne Jordan Roush	episodes=1 episode, 2017 	
character=Fair Worker	name=Dinarte de Freitas	episodes=1 episode, 2019 	
character=Balloon Carnie	name=Sean McCracken	episodes=1 episode, 2019 	
character=Blast Doors Armed Guard	name=Leon Mandel	episodes=1 episode, 2019 	
character=String Quarter 	name=Chris Burndrett	episodes=1 episode, 2019 	
character=TV Reporter	name=John Atwood	episodes=1 episode, 2022 	
character=Ally	name=Sierra Rae	episodes=1 episode, 2016 	
character=Mary Mack Girl 	name=Abigail Whitlock	episodes=1 episode, 2016 	
character=Government Agent 	name=Jim E. Chandler	episodes=1 episode, 2017 	
character=Motel Owner	name=Virginia Kirby	episodes=1 episode, 2017 	
character=Swat Member 	name=Jarrett Michael Collins	episodes=1 episode, 2017 	
character=New Cute Girl	name=Abby Glover	episodes=1 episode, 2019 	
character=Photographer Toby	name=Scott Deckert	episodes=1 episode, 2019 	
character=Rich Douchebag Todd	name=Dan Triandiflou	episodes=1 episode, 2019 	
character=Gross Hairy Man	name=John Mullins	episodes=1 episode, 2019 	
character=Government Man	name=Pat Gallaher	episodes=1 episode, 2019 	
character=Volunteer 	name=Zele Avradopoulos	episodes=1 episode, 2022 	
character=Soldier	name=J.R. Adduci	episodes=1 episode, 2022 	
character=Field Reporter	name=Paul Ryden	episodes=1 episode, 2016 	
character=TV Reporter	name=Orelon Sidney	episodes=1 episode, 2017 	
character=Russian Prison Guard 	name=Kristof Reinharz	episodes=1 episode, 2019 	
character=Fireworks Kid	name=Samuel Goergen	episodes=1 episode, 2019 	
character=Snobby Waiter	name=Lee Ellis	episodes=1 episode, 2019 	
character=Muttering Prisoner	name=Ben Bladon	episodes=1 episode, 2022 	
character=Paramedic	name=Mikael Ayele	episodes=1 episode, 2022 	
character=Agent	name=Anthony Reynolds	episodes=1 episode, 2016 	
character=Cop 	name=Gilbert Glenn Brown	episodes=1 episode, 2017 	
character=Friendly Trucker	name=Ben Taylor	episodes=1 episode, 2017 	
character=Man on Street	name=Thomas Tull	episodes=1 episode, 2017 	
character=Nervous Guard	name=Zack Sayenko	episodes=1 episode, 2019 	
character=Guard 	name=Evgeny Krutov	episodes=1 episode, 2019 	
character=Hip Teenager	name=Cason Richter	episodes=1 episode, 2019 	
character=Argyle 2.0	name=Andres Figueroa	episodes=1 episode, 2022 	
character=Scared Guard	name=Marius Cizauskas	episodes=1 episode, 2022 	
character=Reed	name=Chase Stokes	episodes=1 episode, 2016 	
character=Goth Girl Samantha	name=Shea Jones	episodes=1 episode, 2017 	
character=Swat Member 	name=Wes Kidd	episodes=1 episode, 2017 	
character=Annoyed Girl	name=Sophie Levy	episodes=1 episode, 2019 	
character=Suburban Wife	name=Healy Lange	episodes=1 episode, 2019 	
character=Video Store Patron 	name=Michael Stein	episodes=1 episode, 2019 	
character=Whistling Man	name=Brandon Sauve	episodes=1 episode, 2019 	
character=Young Max Mayfield	name=Belle Henry	episodes=1 episode, 2022 	
character=Russian Doctor	name=Saulius Bareikis	episodes=1 episode, 2022 	
character=Gary	name=Mark Withers	episodes=1 episode, 2016 	
character=Mentally Ill Man	name=Pj McDonnell	episodes=1 episode, 2017 	
character=Government Agent 	name=John Paul Marston	episodes=1 episode, 2017 	
character=Snooty Salesman	name=A. Smith Harrison	episodes=1 episode, 2019 	
character=Upstairs Russian in Hub	name=Roman Varshavsky	episodes=1 episode, 2019 	
character=Pool Manager	name=Sean Michael Weber	episodes=1 episode, 2019 	
character=Russian Soldier	name=Andrei Lapionak	episodes=1 episode, 2019 	
character=Rink-o-Mania Employee	name=Larkin Bell	episodes=1 episode, 2022 	
character=Mental Patient	name=David Dahlgren	episodes=1 episode, 2022 	
character=Government Agent 	name=Shannon Mayers	episodes=1 episode, 2017 	
character=Guard 	name=Zac Zedalis	episodes=1 episode, 2019 	
character=String Quartet 	name=Kenny Lambert	episodes=1 episode, 2019 	
character=Older Skater	name=Jack Justice	episodes=1 episode, 2022 	
character=Pennhurst Guard 	name=Reece Fleetwood	episodes=1 episode, 2022 	
character=Local Newswoman	name=Brenda Wood	episodes=1 episode, 2016 	
character=Cop 	name=Brian F. Durkin	episodes=1 episode, 2017 	
character=Eugene	name=Al Mitchell	episodes=1 episode, 2017 	
character=Young Max	name=Jacey Sink	episodes=1 episode, 2019 	
character=Johnny	name=Dylan Gage	episodes=1 episode, 2019 	
character=Kid in Goggles	name=Nicholas Azarian	episodes=1 episode, 2022 	
character=Helicopter Sniper Pilot	name=Jason Coviello	episodes=1 episode, 2022 	
character=Pennhurst Guard 	name=Bart Hansard	episodes=1 episode, 2022 	
character=Annoyed Neighbor 	name=Eddie Craddock	episodes=1 episode, 2022 	
character=Smaller Kid	name=Drew Youngblood	episodes=1 episode, 2019 	
character=String Quartet 	name=Amanda McClellan	episodes=1 episode, 2019 	
character=Soldier	name=Cuyle Carvin	episodes=1 episode, 2022 	
character=Explosives Specialist	name=Rob Franco	episodes=1 episode, 2022 	
character=Corporal Meyers	name=Derek Hedlund	episodes=1 episode, 2022 	
character=Friendly Girl 	name=Hayley Baron	episodes=1 episode, 2022 	
character=Dr. Owens	name=Lauren Halperin	episodes=1 episode, 2017 	
character=Assistant	name=Lauren Halperin	episodes=1 episode, 2017 	
