# http://fitlayout.github.io/resource/art36 -> https://www.imdb.com/title/tt2707408/fullcredits/
character=El Espectador Reporter	name=Ricardo Niño	episodes=1 episode, 2015 	
character=Student at Stanford	name=R.J. Russell	episodes=1 episode, 2015 	
character=Sophia	name=Xiomara Galeano	episodes=1 episode, 2015 	
character=Israeli Trainer	name=Eivar Fardy	episodes=1 episode, 2015 	
character=General Gonzalez	name=Ricardo Gomez	episodes=1 episode, 2015 	
character=Weaver	name=Joseph Fussey	episodes=1 episode, 2015 	
character=Simon Duque	name=Juan Manuel Acosta	episodes=1 episode, 2016 	
character=Santiago Gallon	name=Miguel Ángel Romero	episodes=1 episode, 2016 	
character=Lorraine	name=Bre Blair	episodes=1 episode, 2017 	
character=Rico	name=Sebastian Chacon	episodes=1 episode, 2017 	
character=Aura	name=Natalia Jerez	episodes=1 episode, 2017 	
character=FARC Soldier	name=Sebastián Moya	episodes=1 episode, 2017 	
character=Motorcycle Girl 1	name=Damaris Garcia	episodes=1 episode, 2017 	
character=Freckles	name=Rodrigo Hernandez	episodes=1 episode, 2017 	
character=Luisa	name=Gina Benedetti	episodes=1 episode, 2017 	
character=Private Instructor	name=Andrés Carvajal	episodes=1 episode, 2017 	
character=Arete	name=Víctor Rodríguez	episodes=1 episode, 2015 	
character=Military Sergeant	name=Silvio Plaza	episodes=1 episode, 2015 	
character=Jimenez	name=Leandro López	episodes=1 episode, 2016 	
character=Carmelita	name=Karen Carabalí	episodes=1 episode, 2016 	
character=Pedro Gallon	name=Frank Delgado	episodes=1 episode, 2016 	
character=Gilberto	name=Johana Castaño	episodes=1 episode, 2016 	
character=Secretary	name=Johana Castaño	episodes=1 episode, 2016 	
character=Secretary	name=Javier Garrido	episodes=1 episode, 2016 	
character=Pinzón	name=Javier Garrido	episodes=1 episode, 2016 	
character=Immigration Officer	name=Michael Stojek	episodes=1 episode, 2016 	
character=Camila	name=Juliette Pardau	episodes=1 episode, 2017 	
character=Randy	name=Carter Roy	episodes=1 episode, 2017 	
character=Traqueto	name=Aldo Uribe	episodes=1 episode, 2017 	
character=Newswoman	name=Camy Jiménez	episodes=1 episode, 2017 	
character=Silvio	name=Andrés Felipe Rojas	episodes=1 episode, 2017 	
character=Strip Club Waitress	name=Isabella Rodríguez	episodes=1 episode, 2017 	
character=Mom	name=Josefina Cruz	episodes=1 episode, 2017 	
character=Andrés	name=Josefina Cruz	episodes=1 episode, 2017 	
character=Purina	name=Pedro Arias	episodes=1 episode, 2015 	
character=Reyes	name=Pedro Arias	episodes=1 episode, 2015 	
character=Comuna Boy	name=Heider Matallana	episodes=1 episode, 2015 	
character=Luís Muñoz	name=Ivan Orjuela	episodes=1 episode, 2016 	
character=Hector Gallon	name=Manolo Gutiérrez	episodes=1 episode, 2016 	
character=Sicario	name=José Restrepo	episodes=1 episode, 2016 	
character=Father	name=Luis Ángel Ospina	episodes=1 episode, 2016 	
character=Soldier 2	name=Freddy Cabezas	episodes=1 episode, 2016 	
character=Ernesto Samper	name=Tristán Ulloa	episodes=1 episode, 2017 	
character=Wedding Guest	name=Efrén Valladares	episodes=1 episode, 2017 	
character=Amparo	name=Susana Victoria	episodes=1 episode, 2017 	
character=Security Guard	name=Christian López	episodes=1 episode, 2017 	
character=PR Woman	name=Mabel Moreno	episodes=1 episode, 2015 	
character=Pretty Woman	name=Susana Rojas	episodes=1 episode, 2015 	
character=Military Man	name=Leonardo Rojas	episodes=1 episode, 2015 	
character=Alberto Areiza	name=Rodrigo Avilán R.	episodes=1 episode, 2015 	
character=Marta Orejuela	name=Abril Schreiber	episodes=1 episode, 2016 	
character=Granny	name=Olga Garavito	episodes=1 episode, 2016 	
character=David	name=Olga Garavito	episodes=1 episode, 2016 	
character=Boy	name=David Camargo	episodes=1 episode, 2016 	
character=Warehouse Manager	name=Brien	episodes=1 episode, 2017 	
character=Warehouse Manager	name=Lorenzo O	episodes=1 episode, 2017 	
character=Commissioner	name=Christophe de Geest	episodes=1 episode, 2017 	
character=Party Bartender	name=Carlos Clavijo	episodes=1 episode, 2017 	
character=Corporate Jet Rep	name=Juan Manuel Diaz	episodes=1 episode, 2017 	
character=Doorman	name=Roger Rodríguez	episodes=1 episode, 2017 	
character=Natalie	name=Heisel Mora	episodes=1 episode, 2015 	
character=Girlfriend	name=Heisel Mora	episodes=1 episode, 2015 	
character=Julian Michel Galan	name=Sebastián Gutiérrez	episodes=1 episode, 2015 	
character=Masked Judge	name=Carlos Echeverri	episodes=1 episode, 2015 	
character=Maria Gaviria	name=Valeria Acosta	episodes=1 episode, 2015 	
character=Reporter	name=Jarol Fonseca	episodes=1 episode, 2016 	
character=Mother	name=Liseth Bitar	episodes=1 episode, 2016 	
character=Mother	name=Sandy Suárez	episodes=1 episode, 2016 	
character=Attorney General Valdivieso	name=Matias Maldonado	episodes=1 episode, 2017 	
character=Bartender	name=Yacko Márquez	episodes=1 episode, 2017 	
character=CNP Captain	name=David Guerrero	episodes=1 episode, 2017 	
character=Jorge Salcedo Sr.	name=Carlos E. Velásquez	episodes=1 episode, 2017 	
