# http://fitlayout.github.io/resource/art15 -> https://www.imdb.com/title/tt1442449/fullcredits/
character=Rebel	name=Ashlee Fidow	episodes=6 episodes, 2013 	
character=Rabanus	name=Andrew Stehlin	episodes=5 episodes, 2010-2013 	
character=Rebel	name=Tyrone Bell	episodes=5 episodes, 2012-2013 	
character=The Egyptian	name=Stephen Dunlevy	episodes=5 episodes, 2012 	
character=Amana	name=Nicola Simpson	episodes=5 episodes, 2012 	
character=Rebel	name=Lauren Shaw	episodes=5 episodes, 2013 	
character=Timocles	name=Tim Eccles	episodes=5 episodes, 2013 	
character=Totus	name=James Wells	episodes=4 episodes, 2012-2013 	
character=Sophus	name=Trevor Jones	episodes=4 episodes, 2012 	
character=Ulpianus	name=Anita Crisinel	episodes=4 episodes, 2013 	
character=Wife	name=Anita Crisinel	episodes=4 episodes, 2013 	
character=Leviticus	name=Levi Holley	episodes=3 episodes, 2010-2012 	
character=Pollux	name=Graham Vincent	episodes=3 episodes, 2013 	
character=Retiarius Gladiator	name=Adrian McGaw	episodes=2 episodes, 2010 	
character=Fabia	name=Sarah Hart	episodes=2 episodes, 2012-2013 	
character=Fugitive Slave	name=Marcus Goldfinch	episodes=2 episodes, 2012 	
character=Rebel	name=Rachel King	episodes=2 episodes, 2013 	
character=Bath Tub Girl	name=Laura Surrich	episodes=1 episode, 2010 	
character=Rebel	name=Jacob Tomuri	episodes=1 episode, 2010 	
character=Guard	name=Beau Harris	episodes=1 episode, 2010 	
character=Glaber	name=Beau Harris	episodes=1 episode, 2010 	
character=Roman Messenger	name=Michael Hurst	episodes=1 episode, 2012 	
character=Upper Class Lady	name=Odette Warder	episodes=1 episode, 2012 	
character=Helena	name=Bailey Smith	episodes=1 episode, 2012 	
character=Child Victim	name=Cameron Hurst	episodes=1 episode, 2012 	
character=Danus	name=Shaughan Campbell	episodes=1 episode, 2012 	
character=Action Fugitive 3	name=Pablo Segura	episodes=1 episode, 2012 	
character=Verenda	name=Vanessa Cater	episodes=2 episodes, 2013 	
character=Rebel	name=Genevieve Aitken	episodes=1 episode, 2013 	
character=Drunken Rebel	name=Mike Markoff	episodes=1 episode, 2013 	
character=Ganicus Lover	name=Lucy Li	episodes=1 episode, 2013 	
character=Rebel	name=Hannah Tasker-Poland	episodes=1 episode, 2013 	
character=Rebel	name=Gemma Weston	episodes=1 episode, 2013 	
character=Roman	name=Stephen Grey	episodes=1 episode, 2013 	
character=Rebel	name=Crystal Pratt	episodes=1 episode, 2013 	
character=Slave	name=Boianna	episodes=1 episode, 2013 	
character=Rebel	name=Laura Matthews	episodes=1 episode, 2013 	
