# http://fitlayout.github.io/resource/art13 -> https://www.imdb.com/title/tt0903747/fullcredits/
character=Locksmith	name=John Lawlor	episodes=1 episode, 2011 	
character=Caregiver	name=Myra Turley	episodes=1 episode, 2011 	
character=Support Group Leader	name=Paul Neis	episodes=1 episode, 2011 	
character=Car Wash Customer	name=Scott Sharot	episodes=1 episode, 2011 	
character=Engineer	name=Myk Watford	episodes=1 episode, 2012 	
character=Chief Food Technician	name=Carrington Vilmont	episodes=1 episode, 2012 	
character=Duty Officer	name=James Harris	episodes=1 episode, 2012 	
character=Locksmith	name=Wray Crawford	episodes=1 episode, 2013 	
character=Girlfriend	name=Roberta Marquez Seret	episodes=1 episode, 2008 	
character=Chad	name=Roberta Marquez Seret	episodes=1 episode, 2008 	
character=Concerned Parent	name=Lorri Oliver	episodes=1 episode, 2008 	
character=Louis	name=Kyle Swimmer	episodes=1 episode, 2008 	
character=Federale	name=Rio Alexander	episodes=1 episode, 2009 	
character=Schlubby Guy 	name=Drew Pollock	episodes=1 episode, 2009 	
character=Jeffrey	name=Andrew Lutheran	episodes=1 episode, 2009 	
character=Wino	name=Argos MacCallum	episodes=1 episode, 2009 	
character=O.M.I. Attendant	name=Phil Howell	episodes=1 episode, 2009 	
character=NA Sponsor	name=Erik J. Bockemeier	episodes=1 episode, 2009 	
character=Sad Faced Girl	name=Taylor Dearden	episodes=1 episode, 2010 	
character=Peng	name=Tiley Chao	episodes=1 episode, 2010 	
character=Young Leonel	name=Victor Munoz-Soto	episodes=1 episode, 2010 	
character=Neighbor	name=John Barbour	episodes=1 episode, 2011 	
character=Morning After Girl	name=Brittany Gustin	episodes=1 episode, 2011 	
character=Truck Guard 1	name=Jason E. Hill	episodes=1 episode, 2011 	
character=Colleen	name=Fran Martone	episodes=1 episode, 2011 	
character=Lucy	name=Monique Candelaria	episodes=1 episode, 2012-2013 	
character=Dorothy Yobs	name=Kathleen Brady	episodes=1 episode, 2012 	
character=Trent	name=Guy Wilson	episodes=1 episode, 2013 	
character=Native American Man	name=Saginaw Grant	episodes=1 episode, 2013 	
character=Carol	name=Cheryl Ford-Mente	episodes=1 episode, 2013 	
character=Carpet Cleaner	name=Manny Rey	episodes=1 episode, 2013 	
character=Student	name=Seri DeYoung	episodes=1 episode, 2008 	
character=Soren	name=Robert Arrington	episodes=1 episode, 2008 	
character=Concerned Parent	name=Kristen Loree	episodes=1 episode, 2008 	
character=O.M.I. Officer	name=Juliet Lopez	episodes=1 episode, 2009 	
character=Hot Chick Cop	name=Casey Cerutti	episodes=1 episode, 2009 	
character=Emotional Woman	name=Robin Dearden	episodes=1 episode, 2010 	
character=Cartel Gunman 	name=Eddie J. Fernandez	episodes=1 episode, 2010 	
character=Policeman	name=Stoney Westmoreland	episodes=1 episode, 2010 	
character=Union Rep	name=Michael Showers	episodes=1 episode, 2010 	
character=Hospital Administrator	name=Cynthia Ruffin	episodes=1 episode, 2010 	
character=Waitress	name=Amanda Schofield	episodes=1 episode, 2010 	
character=Max Arciniega	name=James Martinez	episodes=1 episode, 2011 	
character=Chuck	name=Tank Jones	episodes=1 episode, 2011 	
character=Waiter	name=Rick A. Ortega Jr.	episodes=1 episode, 2011 	
character=Support Group Member	name=J. Michael Oliva	episodes=1 episode, 2011 	
character=Truck Guard 2	name=Henry Herman	episodes=1 episode, 2011 	
character=Waitress	name=Victoria Aultman	episodes=1 episode, 2011 	
character=Nurse	name=Gail Starr	episodes=1 episode, 2012 	
character=AUSA	name=Brennan Brown	episodes=1 episode, 2013 	
character=Detective 	name=Hank Rogerson	episodes=1 episode, 2013 	
character=Min-Ye	name=Debi Parker	episodes=1 episode, 2013 	
character=Carpet Cleaner 	name=Rafael Herrera	episodes=1 episode, 2013 	
character=Lookout	name=Dennis Keiffer	episodes=1 episode, 2008 	
character=Concerned Parent	name=Dave Colon	episodes=1 episode, 2008 	
character=Off Duty Cop	name=Frederic Doss	episodes=1 episode, 2008 	
character=Irving	name=Allan Pacheco	episodes=1 episode, 2008 	
character=Local Correspondant	name=Kieran Sequoia	episodes=1 episode, 2009 	
character=Dr. Soper	name=Kat Sawyer	episodes=1 episode, 2009 	
character=Cartel Gunman 	name=Ben Hernandez Bray	episodes=1 episode, 2010 	
character=Burnout	name=Mark Hanson	episodes=1 episode, 2010 	
character=Orderly	name=Steve Corona	episodes=1 episode, 2010 	
character=Stripper 	name=Erin Elliott	episodes=1 episode, 2010 	
character=Commercial Narrator	name=Fernando Escandon	episodes=1 episode, 2010 	
character=Wide Eyed Boy	name=Galen Hutchison	episodes=1 episode, 2010 	
character=Preppy Shopper	name=Matthew Feight	episodes=1 episode, 2010 	
character=First Realtor	name=Ralph Alderman	episodes=1 episode, 2011 	
character=Security Team 1	name=Keith Meriweather	episodes=1 episode, 2011 	
character=Mike	name=Keith Meriweather	episodes=1 episode, 2011 	
character=Miguel	name=Stephen Eiland	episodes=1 episode, 2011 	
character=DEA Agent	name=Phillip Hart	episodes=1 episode, 2012 	
character=DEA Agent Artie	name=Chad Brummett	episodes=1 episode, 2013 	
character=Public Defender	name=Eric Price	episodes=1 episode, 2013 	
character=Detective 	name=Billy Lockwood	episodes=1 episode, 2013 	
character=Kid	name=Sachie Capitani	episodes=1 episode, 2013 	
character=Yuppie Woman	name=Carrie Fleming	episodes=1 episode, 2008 	
