# http://fitlayout.github.io/resource/art99 -> https://www.imdb.com/title/tt7949218/fullcredits/
character=Haniwa 	name=Jordana Blake	episodes=1 episode, 2019 	
character=Witch 	name=Iris Paluly	episodes=1 episode, 2019 	
character=Rebel Witchfinder	name=Stéphane Julien	episodes=1 episode, 2022 	
character=Witch 	name=Wesley Salter	episodes=1 episode, 2019 	
character=Alkenny Elder	name=Linda Curial	episodes=1 episode, 2019 	
character=Soldier	name=Mustafa Bulut	episodes=1 episode, 2021 	
character=Healer	name=Mike Chow	episodes=1 episode, 2021 	
character=Alkenny Teacher	name=Yvonne Angeles	episodes=1 episode, 2019 	
character=Witch 	name=Nova Stevens	episodes=1 episode, 2019 	
character=Torturer	name=Gavin Fox	episodes=1 episode, 2021 	
character=Ryder	name=Moses Nyarko	episodes=1 episode, 2021 	
character=Roscoe	name=Stelth Ng	episodes=1 episode, 2022 	
character=Alkenny Kid 	name=Nathaniel Adams	episodes=1 episode, 2019 	
character=Pimp	name=Ken Hall	episodes=1 episode, 2021 	
character=Flint	name=Simon Northwood	episodes=1 episode, 2021 	
character=Witch 	name=Jarrett Carlington	episodes=1 episode, 2019 	
character=Alkenny Kid 	name=Damian Jansen	episodes=1 episode, 2019 	
character=Herald	name=Sammila Vassell	episodes=1 episode, 2021 	
character=Queen	name=Sammila Vassell	episodes=1 episode, 2021 	
character=Large Man	name=Steven P. Park	episodes=1 episode, 2022 	
character=Pennsan Royal Guard	name=Ryan Hooey	episodes=1 episode, 2022 	
character=Alkenny Kid 	name=Maya Keefe	episodes=1 episode, 2019 	
character=Protestor	name=Hannan Younis	episodes=1 episode, 2021 	
character=Pennsan Stablehand	name=Anthony Gerbrandt	episodes=1 episode, 2022 	
character=Alkenny Kid 	name=Winston Cabagnot	episodes=1 episode, 2019 	
character=Protestor	name=Robin Frigeri	episodes=1 episode, 2021 	
character=Trivantian Commander	name=Dan Tokarew	episodes=1 episode, 2022 	
character=Alkenny Kid 	name=Christopher Cabagnot	episodes=1 episode, 2019 	
character=Protestor	name=Jesse Buck	episodes=1 episode, 2021 	
character=River Child	name=Margot Wehrle	episodes=1 episode, 2019 	
character=Marketplace Citizen	name=Jennifer Merchant	episodes=1 episode, 2021 	
character=Trivantian Soldier	name=Mugabi Mpagi	episodes=1 episode, 2022 	
character=Marketplace Citizen	name=Jonathan Ellul	episodes=1 episode, 2021 	
character=Marketplace Citizen	name=Jessica Allen	episodes=1 episode, 2021 	
character=Payan Luminary	name=Jim Garrow	episodes=1 episode, 2021 	
character=Trivantian Commander	name=Mercedes Blanche	episodes=1 episode, 2022 	
character=Trivantian Soldier	name=Jeremy Durgana	episodes=3 episodes, 2021 	
character=Edo Voss	name=Kenneth Mitchell	episodes=1 episode, 2019 	
character=Indigo Man	name=Nicholas Dohy	episodes=1 episode, 2019 	
character=Singer	name=Bree Ali	episodes=1 episode, 2021 	
