# http://fitlayout.github.io/resource/art11 -> https://www.imdb.com/title/tt0248654/fullcredits/
character=Kyle	name=James Waterston	episodes=2 episodes, 2004 	
character=Bride at Flower Shop	name=Dianna Miranda	episodes=2 episodes, 2001-2005 	
character=Tate Pasquese	name=Vanessa Marano	episodes=2 episodes, 2005 	
character=Marcie	name=Becky Thyre	episodes=2 episodes, 2004-2005 	
character=Priest	name=Robert Baker	episodes=2 episodes, 2004 	
character=Dink	name=Aaron Leigh	episodes=2 episodes, 2001-2002 	
character=Enzo Pasquese	name=Nathan Norton	episodes=2 episodes, 2005 	
character=Obstetrician	name=Kristin Morley	episodes=2 episodes, 2005 	
character=Anthony Finelli	name=Jake Gridley	episodes=2 episodes, 2001-2003 	
character=Graciela	name=Maria Carmen	episodes=2 episodes, 2002 	
character=Basil	name=Robert Pine	episodes=2 episodes, 2002-2005 	
character=Kyle	name=Austin Nichols	episodes=2 episodes, 2002 	
character=Legless Grandmother	name=Kerry Leigh Michaels	episodes=2 episodes, 2004-2005 	
character=Nephew	name=Drake Johnston	episodes=2 episodes, 2002-2005 	
character=Danny	name=Drake Johnston	episodes=2 episodes, 2002-2005 	
character=Soap Actress	name=Kimberlin Brown	episodes=2 episodes, 2003 	
character=Marc Foster	name=Brian Poth	episodes=2 episodes, 2001 	
character=Soap Actor	name=Nolan North	episodes=2 episodes, 2003 	
character=Anesthesiologist	name=Patrice Walters	episodes=2 episodes, 2002-2003 	
character=School Boy 	name=Darren Le Gallo	episodes=1 episode, 2001 	
character=Deputy Wheeler	name=Larry Sullivan	episodes=1 episode, 2003 	
character=George	name=Carol Hickey	episodes=1 episode, 2004 	
character=Friend	name=Carol Hickey	episodes=1 episode, 2004 	
character=Ex	name=Carol Hickey	episodes=1 episode, 2004 	
character=Edith Kirky	name=Lynda Scarlino	episodes=1 episode, 2002 	
character=Eric Sheedy	name=Mark L. Young	episodes=1 episode, 2003-2004 	
character=Russian Man	name=Michael Khmurov	episodes=1 episode, 2002 	
character=Hot Student	name=Brian Ames	episodes=1 episode, 2004 	
character=Knitting Student	name=Audrey Harris	episodes=1 episode, 2005 	
character=Amelia	name=Caroline Aaron	episodes=1 episode, 2001 	
character=Paco	name=Jacob Vargas	episodes=1 episode, 2001 	
character=Manuel 	name=Jacob Vargas	episodes=1 episode, 2001 	
character=Bolin	name=Jacob Vargas	episodes=1 episode, 2001 	
character=Brody Farrell	name=Shawn Hatosy	episodes=1 episode, 2002 	
character=Eileen Piper	name=Mare Winningham	episodes=1 episode, 2002 	
character=Mr. Jones	name=Bill Cobbs	episodes=1 episode, 2001 	
character=Powerful	name=Lombardo Boyar	episodes=1 episode, 2001 	
