# http://fitlayout.github.io/resource/art74 -> https://www.imdb.com/title/tt0402711/fullcredits/
character=U.S. Attorney Chris Randolph	name=Zach Grenier	episodes=2 episodes, 2005-2007 	
character=Father Michael Ryan	name=Richard Fancy	episodes=2 episodes, 2005 	
character=Dr. Malcolm Freemont	name=Victor McCay	episodes=2 episodes, 2005-2007 	
character=Kelly Nolan	name=Heather Locklear	episodes=2 episodes, 2005 	
character=Hannah Guttman	name=Emily Montague	episodes=2 episodes, 2006 	
character=Doris Thumper	name=Yvette Nicole Brown	episodes=2 episodes, 2007 	
character=Chief Justice Roberts	name=John Posey	episodes=2 episodes, 2008 	
character=A.D.A. George Martin	name=Karl T. Wright	episodes=2 episodes, 2004-2007 	
character=D.A. Casey Mathias	name=David Burke	episodes=2 episodes, 2005-2006 	
character=A.D.A. Joe Isaacs	name=Jere Burns	episodes=2 episodes, 2006-2008 	
character=Sean Wilkes	name=Cameron Daddo	episodes=2 episodes, 2006 	
character=Adams	name=Pamela Dunlap	episodes=2 episodes, 2008 	
character=Dr. Herbert Waylon	name=Aaron Lustig	episodes=2 episodes, 2004-2008 	
character=Candy Springtime	name=Robin Riker	episodes=2 episodes, 2006 	
character=A.D.A. Oliver Goldberg	name=Allan Wasserman	episodes=2 episodes, 2004-2006 	
character=Helena Perez	name=Dianna Miranda	episodes=2 episodes, 2005 	
character=Attorney Shelley Ford	name=Christine Dunford	episodes=2 episodes, 2006-2007 	
character=Judge Floyd Hurwitz	name=Lawrence Pressman	episodes=2 episodes, 2007-2008 	
character=Justice Samuel Alito	name=Vito D	episodes=2 episodes, 2008 	
character=Justice Samuel Alito	name=Ambrosio	episodes=2 episodes, 2008 	
character=George Keene	name=Marshall Manesh	episodes=2 episodes, 2004-2006 	
character=Detective Sean Wilkins	name=Billy Mayo	episodes=2 episodes, 2005-2007 	
character=D.A. Bret Haber	name=Michael Wiseman	episodes=2 episodes, 2005-2007 	
character=D.A. Scott Berger	name=Marc Vann	episodes=2 episodes, 2005-2006 	
character=Dan Rice	name=Steve Valentine	episodes=2 episodes, 2006 	
character=Sister Catherine	name=Lauri Johnson	episodes=2 episodes, 2007 	
character=Wade Mathis	name=James Rebhorn	episodes=2 episodes, 2008 	
character=A.D.A. Todd Milken	name=Gregory Itzin	episodes=2 episodes, 2005 	
character=Attorney John Hoberg	name=Kelly Connell	episodes=2 episodes, 2006 	
character=Christine Pauley	name=Elizabeth Mitchell	episodes=2 episodes, 2004 	
character=Miguel Obisbo	name=Rolando Molina	episodes=2 episodes, 2007 	
character=Judge Katherine Taylor	name=Lorna Raver	episodes=2 episodes, 2004-2006 	
character=Reverend Al Sharpton	name=Al Sharpton	episodes=2 episodes, 2004 	
character=Barry Goal	name=Robert Wagner	episodes=2 episodes, 2006 	
character=Judge	name=Anthony S. Johnson	episodes=2 episodes, 2004 	
character=Clerk 	name=Brad Wilson	episodes=2 episodes, 2005-2007 	
character=Dr. Anyar Marks	name=Jesse D. Goins	episodes=2 episodes, 2005-2006 	
